distance_km,delivery_time_min
32.05,99.89
36.44,102.31
48.8,151.49
26.06,91.98
16.49,57.22
39.86,123.9
13.91,43.46
22.23,64.9
4.38,21.71
1.75,11.97
48.15,144.51
41.88,134.5
34.95,113.21
20.74,64.54
9.08,31.07
8.24,30.73
12.89,45.87
27.69,83.68
35.87,114.89
33.18,104.78
14.36,52.51
47.77,151.35
37.03,116.31
27.94,92.49
30.78,91.3
21.27,67.31
12.76,39.4
18.12,57.14
38.01,116.77
1.21,3.59
6.25,27.55
2.78,16.33
2.52,10.12
42.85,124.28
35.33,108.97
23.97,76.72
5.34,26.46
24.83,77.25
23.94,80.72
9.07,30.2
21.98,73.2
20.23,68.91
30.98,100.27
31.94,96.98
2.74,11.77
19.04,64.48
31.48,93.12
25.41,84.37
42.9,128.84
33.11,98.91
8.57,28.56
3.99,14.24
32.3,102.63
1.81,11.51
29.5,93.77
47.04,142.19
28.99,96.79
19.71,64.4
32.34,105.75
23.18,65.38
27.51,89.66
47.1,144.02
19.61,66.87
48.08,156.38
45.31,136.27
10.19,39.01
3.93,14.4
5.49,13.98
1.4,12.91
5.17,27.8
34.31,116.37
4.02,18.27
16.29,48.09
42.32,131.13
1.65,9.52
40.82,131.83
14.45,48.26
6.35,15.74
34.99,112.49
31.63,100.19
43.93,140.42
36.89,116.65
40.27,128.57
14.46,48.44
9.28,33.98
37.66,114.28
40.44,127.73
49.53,152.85
20.92,69.73
18.91,57.02
38.93,127.39
17.37,58.1
46.57,147.89
42.99,133.99
21.74,72.62
37.67,109.02
37.85,118.12
5.6,18.64
45.18,139.09
25.51,85.57
41.41,122.83
16.34,56.99
44.83,141.33
19.77,69.42
1.04,3.0
45.32,143.31
5.02,21.07
16.31,53.71
47.53,153.36
47.56,139.23
28.89,92.16
31.78,104.42
22.7,66.59
15.01,52.42
16.77,56.61
33.79,97.85
37.74,122.62
39.68,120.48
39.59,130.07
5.01,22.34
24.97,81.12
3.35,19.1
27.7,91.68
22.36,64.23
44.44,131.5
17.87,58.04
6.29,19.59
7.58,34.37
38.19,115.62
31.1,98.67
5.51,23.85
4.66,28.77
35.2,115.19
4.1,14.66
41.18,130.65
35.46,114.17
4.53,21.07
4.7,15.18
49.34,161.14
19.03,57.18
18.85,64.26
40.73,123.67
47.39,148.73
49.31,152.14
37.79,113.17
19.12,52.48
4.63,22.44
38.97,119.67
28.14,89.98
21.5,76.7
45.36,143.59
6.0,11.42
24.88,74.76
1.06,3.0
23.7,72.76
3.29,13.78
6.38,34.36
6.32,27.98
32.64,104.33
37.43,119.06
29.38,95.03
48.13,142.37
19.06,56.53
14.64,50.75
43.5,135.51
11.57,40.91
48.18,155.96
1.1,5.54
48.51,149.05
2.64,13.9
44.61,132.03
26.62,78.97
49.65,159.41
4.15,16.28
27.92,86.79
48.48,151.41
26.39,77.5
31.66,98.74
34.94,107.52
23.0,75.47
31.56,91.25
29.42,90.07
45.11,138.48
2.75,11.31
14.41,52.43
47.55,144.49
44.57,151.01
23.06,77.15
31.2,96.64
14.23,50.11
9.81,37.34
23.45,74.12
17.99,63.58
29.39,89.27
4.35,20.39
48.73,150.78
49.32,154.11
35.06,111.09
27.04,86.18
15.82,60.37
40.78,125.01
34.39,105.02
8.55,30.29
45.59,146.99
41.22,128.8
47.52,147.26
36.42,112.05
30.86,95.65
21.2,72.89
46.67,144.76
43.37,136.13
2.74,10.42
1.81,13.52
19.13,67.3
40.62,123.16
49.37,149.5
7.95,25.46
29.91,98.87
19.35,59.22
48.51,149.16
42.18,127.62
42.0,137.76
23.7,73.97
21.03,74.75
14.03,46.99
3.29,12.9
43.3,138.11
40.74,127.06
49.99,160.6
49.83,153.63
27.99,87.17
38.56,118.87
47.27,151.77
42.56,133.68
12.74,40.28
22.8,67.66
6.89,26.53
47.73,144.42
30.51,89.44
11.82,44.81
33.75,101.32
31.1,91.14
18.23,59.14
6.12,22.16
33.74,102.74
26.26,84.64
38.73,120.0
26.25,92.54
42.68,132.28
27.82,83.37
28.27,91.0
43.89,138.22
20.47,65.08
7.13,19.75
1.92,16.96
37.88,113.59
31.21,102.15
35.35,115.99
11.04,36.89
7.25,30.27
1.22,12.53
17.85,54.27
29.7,99.99
19.92,66.07
22.16,62.81
45.26,141.56
17.74,55.98
25.94,84.61
39.29,120.31
20.13,62.85
31.29,94.74
43.19,135.46
47.5,149.58
7.78,28.33
46.37,142.92
24.86,79.97
13.28,49.08
23.23,70.52
49.01,146.69
24.88,74.85
16.77,48.76
31.85,96.5
12.39,46.73
4.26,10.97
6.88,24.63
6.84,28.18
8.02,29.1
7.37,30.61
32.22,99.35
9.5,31.54
17.61,56.27
44.89,141.89
23.96,87.8
33.54,105.6
9.03,31.14
10.02,31.2
2.52,19.53
8.86,30.04
14.29,45.4
9.26,31.95
4.89,26.96
6.47,22.17
23.31,74.82
10.71,27.08
18.53,64.52
25.42,80.11
34.67,112.67
2.45,14.87
40.07,125.85
31.58,97.94
4.55,18.89
43.74,130.86
46.08,144.15
3.52,17.78
14.21,47.94
40.41,126.37
37.54,115.19
9.63,33.26
10.86,33.2
18.84,59.33
24.48,86.71
31.1,98.67
18.76,63.23
23.4,75.08
37.5,117.76
2.32,12.49
13.0,43.02
35.81,114.81
44.81,136.58
25.83,76.55
26.84,86.31
5.81,26.89
22.65,70.34
26.86,88.73
12.5,45.2
13.83,52.72
19.18,69.98
1.49,11.8
16.44,53.85
10.97,31.43
16.71,59.04
6.43,28.81
44.58,137.71
29.88,96.06
34.12,103.24
39.56,121.3
25.17,75.23
4.8,20.48
27.09,84.66
29.55,98.64
37.4,118.14
21.87,72.01
6.82,25.49
14.55,54.96
18.47,66.23
32.47,101.73
28.75,92.45
18.13,65.04
49.33,148.29
30.49,97.67
12.24,40.33
5.54,27.51
8.07,31.32
12.67,36.07
8.45,28.7
9.74,39.82
14.61,52.4
9.08,28.08
44.89,135.75
4.47,18.73
26.46,84.17
20.81,66.42
49.13,150.77
6.05,20.79
20.19,74.6
48.49,149.0
43.34,132.39
40.95,129.86
13.27,44.39
8.96,28.19
33.6,104.79
46.5,144.27
28.06,90.9
28.79,92.64
14.36,44.01
38.59,123.2
9.76,37.84
16.52,50.26
21.56,66.57
25.63,81.18
12.5,43.38
6.18,24.58
30.73,97.01
14.79,43.64
29.27,96.86
8.14,25.46
24.32,83.35
26.86,90.26
3.07,9.74
17.16,57.9
7.15,31.9
3.64,18.27
49.5,146.72
16.46,54.22
40.59,130.1
13.1,51.04
34.23,107.16
38.13,112.73
29.98,103.7
23.84,76.04
20.89,73.44
17.77,57.27
46.51,146.73
41.62,127.11
48.27,147.14
6.65,32.2
36.68,118.79
46.95,145.73
9.47,37.15
3.79,13.66
37.19,116.56
28.94,92.22
42.17,128.48
7.42,23.7
39.87,117.04
10.48,32.57
8.6,38.11
8.63,23.79
40.82,127.33
33.43,105.89
26.39,83.18
18.26,63.28
43.92,135.66
19.93,68.59
40.92,129.96
22.24,66.3
19.16,67.12
23.4,73.95
15.42,44.09
37.51,119.41
25.38,80.01
11.99,47.5
45.03,144.47
19.5,59.9
27.41,91.01
45.37,138.33
31.4,92.57
6.29,21.4
47.02,140.75
31.57,99.66
17.08,63.96
7.39,27.5
39.8,126.26
31.19,94.57
26.91,83.56
44.75,141.42
39.54,123.33
8.01,26.14
15.93,56.8
12.8,43.96
37.33,125.2
2.16,14.12
28.71,86.59
38.24,120.19
43.9,131.88
17.43,65.32
41.15,124.5
5.98,27.39
42.4,136.02
6.81,22.7
20.17,66.81
39.97,125.92
7.92,32.09
11.85,41.25
36.25,111.08
36.14,115.67
32.24,103.97
34.85,105.83
27.36,77.87
12.96,46.26
17.61,59.33
9.49,35.19
45.47,146.68
29.38,96.64
20.34,71.2
23.37,78.24
47.39,147.75
8.09,24.35
29.52,99.72
25.54,80.79
30.77,94.88
1.4,11.74
43.67,128.67
46.64,141.96
28.47,87.91
34.98,107.32
46.16,151.23
35.51,111.2
8.05,26.6
29.03,91.89
30.53,100.01
21.49,61.86
36.95,116.32
46.75,143.44
46.32,145.03
22.82,68.87
6.11,22.6
49.25,152.2
42.03,125.99
6.67,32.47
46.08,144.9
43.56,139.36
26.18,82.13
29.77,95.16
20.25,60.94
3.21,12.07
17.09,52.68
40.24,126.91
0.73,14.02
17.01,59.64
20.21,72.88
27.1,89.48
46.03,144.78
17.64,54.24
17.67,59.32
37.01,114.12
22.88,76.98
11.62,34.42
22.9,73.25
7.47,27.49
9.23,39.84
25.17,76.42
21.24,73.38
45.78,145.65
18.44,59.29
29.24,94.36
31.8,99.39
1.15,8.5
33.35,108.05
9.31,43.12
48.07,153.08
7.86,29.57
21.02,73.77
4.72,13.49
49.85,152.92
25.36,81.34
29.97,90.76
3.82,14.3
37.62,111.25
10.89,32.56
44.95,138.88
10.65,33.2
9.94,36.5
2.31,13.0
23.87,78.03
28.46,88.36
3.75,20.59
38.89,123.67
22.94,74.71
26.46,85.3
22.32,71.12
20.34,71.29
28.2,94.17
8.18,28.09
9.51,34.18
43.16,132.89
47.33,156.86
18.98,60.92
13.9,51.49
32.38,112.85
20.73,68.46
1.76,3.3
8.23,35.73
35.94,110.77
33.12,101.6
1.84,17.64
11.49,34.26
11.94,46.55
33.76,105.38
1.48,3.0
5.65,25.5
40.1,116.28
9.34,32.83
32.81,96.89
12.29,40.56
5.42,24.06
12.54,44.3
36.25,114.59
42.86,137.61
41.6,129.79
20.16,64.62
33.57,106.85
10.65,34.29
15.01,53.48
44.87,139.89
1.14,11.29
4.73,18.49
10.79,39.37
1.81,13.1
9.48,25.37
29.36,87.24
21.36,66.85
44.69,138.54
40.96,132.99
17.42,59.08
13.34,47.12
19.29,69.05
29.72,99.66
13.77,42.27
31.4,104.12
20.77,67.72
27.83,86.42
22.09,70.09
15.08,47.73
47.45,147.91
38.3,119.56
7.44,32.25
43.49,143.2
24.63,77.26
44.78,134.16
40.09,127.95
21.55,73.41
1.61,11.36
13.8,40.24
27.31,83.76
31.86,101.16
13.27,42.33
7.4,23.2
41.83,139.06
49.23,148.68
26.52,89.39
9.0,33.65
13.98,49.37
1.41,13.78
45.76,139.52
6.33,22.79
29.04,94.0
14.07,39.8
27.93,95.39
32.75,103.7
41.57,125.95
10.72,41.53
1.04,8.5
7.28,23.94
45.05,143.94
43.76,126.97
30.07,96.89
30.23,100.92
33.42,101.93
9.18,27.42
45.76,143.98
21.23,65.98
19.47,72.39
26.19,81.44
2.82,12.7
8.73,33.28
37.03,108.82
4.6,19.03
30.36,100.55
12.64,42.61
19.77,59.72
14.79,47.63
18.11,51.66
36.09,112.11
15.21,55.06
28.54,88.11
24.06,79.99
33.35,99.13
46.87,153.14
36.76,119.81
11.14,36.45
2.04,5.84
13.48,43.41
29.96,96.0
3.05,18.48
25.07,71.77
30.04,99.95
17.05,57.16
38.66,116.33
5.78,12.13
4.22,18.21
36.55,115.52
25.03,77.62
34.58,112.38
22.02,79.21
12.7,41.49
41.05,125.15
40.07,132.08
34.89,108.78
13.97,49.55
29.72,91.72
18.37,64.67
5.03,15.12
45.91,143.3
7.27,28.0
47.54,146.88
22.58,70.19
9.66,41.16
27.32,90.21
43.71,132.67
36.75,107.7
40.42,132.19
33.11,100.62
34.77,109.55
42.54,132.97
12.86,44.72
24.73,72.43
11.45,37.95
49.39,153.11
47.23,146.47
2.45,15.21
35.43,111.94
46.3,145.68
9.44,30.92
28.61,97.67
45.82,141.29
2.18,12.86
35.02,110.52
15.22,52.46
46.26,148.57
48.57,147.34
47.24,150.03
23.97,79.87
43.17,135.21
42.31,132.82
16.3,49.26
41.53,128.24
2.33,4.37
30.02,93.82
11.89,40.4
6.47,18.81
4.31,19.12
34.97,114.73
17.32,57.83
36.38,114.11
3.74,14.1
16.11,54.81
27.2,82.55
39.64,114.28
16.28,60.15
31.48,103.29
44.36,133.67
30.99,92.17
12.03,41.52
1.71,10.38
43.57,138.97
1.55,8.32
43.8,141.01
26.68,84.18
46.98,150.8
40.04,124.39
49.9,151.24
17.86,57.08
38.48,123.04
20.4,67.6
24.25,77.97
31.56,95.51
43.75,136.0
49.21,150.02
38.53,117.87
21.18,72.52
21.36,66.01
37.01,112.74
12.32,43.21
5.97,19.24
18.05,56.94
14.72,56.86
15.17,49.83
12.06,43.89
2.58,22.81
1.38,9.95
49.39,155.28
21.67,71.27
19.52,62.27
34.14,107.93
11.3,38.2
47.52,143.93
39.42,126.6
4.93,12.54
21.17,68.54
44.02,135.93
47.26,142.65
23.64,78.4
30.86,93.5
8.77,29.67
49.56,156.6
11.97,33.2
47.17,150.81
32.66,102.83
30.58,95.51
25.88,77.12
11.92,41.12
9.24,32.81
11.41,41.43
9.73,32.31
39.09,118.37
17.83,59.75
3.36,12.78
48.47,152.43
44.25,133.62
46.42,147.45
49.75,160.2
9.11,31.66
20.11,70.74
38.03,122.11
34.95,111.21
8.12,29.3
40.88,125.47
11.61,44.62
11.58,43.72
27.08,82.06
29.85,95.01
29.21,89.39
5.03,21.99
43.93,139.8
13.65,39.69
6.91,25.4
44.49,140.18
47.8,148.78
43.18,141.66
40.57,120.42
32.93,109.22
27.77,84.77
4.81,10.84
20.72,68.44
18.95,61.34
13.36,45.44
36.31,116.01
25.05,82.34
4.51,16.41
11.4,42.44
34.32,99.9
4.27,17.43
42.63,137.42
25.01,81.17
24.29,78.07
29.82,93.1
41.32,130.35
17.72,57.03
34.06,109.69
28.5,88.43
13.72,52.26
43.99,139.16
39.97,132.17
33.09,102.73
42.6,137.71
43.43,130.23
35.56,114.58
41.93,130.33
35.02,110.55
34.17,110.42
31.12,101.34
37.76,121.63
8.35,31.46
44.1,139.48
43.66,135.08
1.95,8.27
41.38,129.8
6.88,17.06
17.09,57.94
37.3,120.39
8.46,32.85
40.99,125.52
41.69,121.89
25.62,84.48
0.82,4.29
14.71,43.98
31.04,101.91
49.07,146.78
31.77,99.64
13.36,52.19
31.88,97.98
27.23,82.43
39.1,124.34
5.8,23.69
38.17,112.88
27.29,87.09
48.17,154.22
17.42,62.87
31.81,99.4
46.64,146.89
5.57,23.89
46.89,149.71
34.55,108.29
3.86,21.76
15.4,48.27
35.55,114.78
3.83,12.49
29.32,85.79
17.62,60.31
31.24,110.53
2.76,14.57
43.64,135.09
48.69,156.03
48.46,148.6
37.61,110.76
6.94,29.59
38.03,125.32
1.72,10.67
1.6,11.04
16.52,52.12
24.69,78.41
38.64,121.79
34.32,108.15
22.57,72.86
14.04,34.57
49.86,155.23
21.6,64.48
22.84,75.43
8.6,35.03
39.84,126.77
34.84,104.92
11.43,35.95
4.58,18.47
34.18,110.97
32.9,107.67
14.03,48.52
47.57,143.85
7.98,33.63
21.9,70.6
47.21,145.04
21.28,66.88
32.11,95.23
20.18,69.94
14.07,46.72
49.21,149.85
20.76,69.72
44.76,142.42
11.88,33.72
11.05,44.35
2.04,20.01
32.76,103.68
18.74,62.18
43.29,144.43
23.92,72.4
48.43,148.19
9.68,36.38
43.5,140.08
38.94,121.98
38.66,117.73
42.32,137.1
38.17,119.48
31.5,99.5
7.0,29.71
2.11,17.35
46.08,144.2
31.02,99.99
39.93,128.97
24.34,77.1
6.31,21.73
6.7,23.62
34.44,104.62
21.8,66.05
10.43,45.16
24.83,75.92
3.68,17.12
29.31,92.58
13.82,50.64
39.98,125.4
15.86,58.14
23.03,73.58
1.08,9.21
4.09,20.26
19.93,65.58
24.26,79.88
30.2,96.74
14.94,44.16
34.9,112.77
43.08,138.94
39.1,121.79
2.46,11.56
24.29,79.03
5.69,29.87
12.48,41.31
49.34,155.51
7.55,26.96
25.19,82.98
31.1,93.19
35.27,118.0
28.2,91.08
0.98,6.84
16.66,53.97
26.13,84.49
4.85,27.56
17.86,64.75
2.14,10.36
4.39,18.55
20.15,66.02
7.07,18.4
28.59,89.86
34.63,109.73
40.13,121.76
10.41,43.13
8.79,26.87
5.68,17.97
32.0,103.78
35.47,112.53
2.06,9.38
46.84,149.56
3.07,15.19
27.29,94.28
35.6,104.68
43.61,133.75
35.85,119.16
40.19,127.48
17.3,56.49
40.83,125.89
4.47,19.8
44.79,134.8
27.61,82.08
40.96,130.12
22.89,77.09
32.36,105.83
26.56,82.95
36.71,113.27
4.54,18.61
3.49,11.49
12.73,45.85
8.4,29.01
43.65,135.69
11.35,38.35
48.81,153.47
17.18,57.67
9.51,41.17
39.59,122.23
33.11,111.49
25.16,73.24
27.99,90.93
36.1,106.96
11.81,36.33
49.82,150.56
48.75,147.05
32.69,100.64
10.38,44.93
34.17,104.0
4.07,10.77
2.02,13.03
13.26,45.74
23.4,84.06
43.48,135.28
36.49,105.33
37.26,115.08
21.56,67.9
17.62,52.94
18.87,59.35
49.39,152.57
2.49,12.21
43.42,129.73
29.14,94.87
22.21,78.18
36.4,115.32
24.59,83.2
43.73,136.93
45.08,136.07
21.38,70.21
14.2,45.6
29.82,90.03
45.66,141.67
10.93,41.06
31.34,97.65
31.76,108.05
36.79,119.17
7.01,23.85
35.93,110.49
45.5,150.07
9.39,31.84
12.26,43.23
48.58,152.44
9.46,26.48
42.79,126.53
24.87,83.03
12.74,39.02
43.6,135.85
22.54,66.59
25.98,81.64
18.28,60.7
29.85,86.31
8.59,31.0
19.86,65.01
48.49,148.58
13.28,40.43
33.01,102.52
16.6,53.29
38.79,129.06
6.98,25.45
48.51,148.66
22.96,73.4
12.18,43.25
4.14,18.96
8.9,33.51
26.23,86.1
17.18,50.7
41.53,131.66
21.83,71.22
12.81,40.94
31.05,98.57
35.49,111.02
8.77,31.22
8.8,32.09
2.32,5.23
36.95,116.91
33.36,107.68
23.99,77.96
42.29,128.96
40.38,122.69
29.48,94.15
43.48,138.65
10.69,42.3
6.04,26.18
13.85,48.6
3.33,4.81
26.79,82.92
46.86,146.84
2.45,9.62
6.54,20.91
22.88,69.4
46.73,152.24
16.15,48.25
25.61,80.98
2.56,9.76
7.84,25.07
49.34,154.66
48.27,153.11
0.74,3.0
47.61,148.05
32.14,100.95
43.46,133.58
23.01,70.29
26.02,87.5
24.7,74.96
33.51,100.32
7.41,31.63
1.98,11.75
15.74,47.5
35.38,110.84
10.49,33.98
33.83,112.46
48.51,149.57
5.15,22.57
33.79,106.29
22.47,78.14
43.47,136.23
9.27,37.44
34.78,111.52
41.99,128.75
47.26,146.78
34.32,107.11
25.11,78.04
31.08,93.94
43.51,140.97
28.75,82.99
2.0,16.34
46.58,139.4
34.63,111.07
33.99,104.62
11.18,31.86
33.11,108.93
20.0,55.39
32.74,106.39
5.78,22.85
33.06,108.39
49.97,157.42
2.89,16.11
48.87,155.2
20.64,70.28
43.6,137.61
39.23,121.35
28.57,89.79
37.05,116.59
43.99,135.89
20.5,75.26
16.69,54.72
33.55,101.04
40.49,125.98
38.23,116.35
39.99,132.81
22.06,71.58
40.98,130.49
6.45,26.41
27.45,91.14
0.79,8.31
16.57,53.11
18.64,61.11
20.11,60.43
34.93,109.18
19.73,71.38
22.71,76.07
12.26,41.35
18.98,69.97
11.75,37.81
4.12,18.74
30.37,94.9
33.58,104.91
31.16,100.07
23.44,77.63
19.3,62.09
43.24,131.36
26.19,90.91
24.22,78.06
1.77,6.16
17.39,53.09
19.32,70.92
20.24,75.58
29.22,94.0
26.91,83.28
30.59,98.1
38.36,118.86
40.74,129.52
36.05,114.54
47.8,148.27
1.4,8.87
10.19,34.69
0.87,11.42
32.55,101.88
44.95,148.08
12.55,51.25
46.39,142.65
3.48,14.01
46.75,145.07
17.91,56.15
5.52,24.97
24.55,83.39
13.21,49.77
14.6,47.97
15.71,51.25
40.25,117.78
27.19,83.94
15.91,49.0
30.71,92.71
35.95,110.9
13.99,45.76
20.97,67.81
6.53,30.04
9.47,38.06
34.22,103.15
9.48,35.16
26.5,81.29
35.6,112.39
5.79,27.62
28.58,88.8
13.2,40.65
48.16,149.7
24.44,83.59
40.4,134.21
27.74,85.74
2.65,13.47
31.84,101.62
47.59,142.1
30.28,89.93
41.05,129.45
44.27,136.3
11.79,34.76
11.0,40.74
30.74,97.47
20.85,67.58
42.07,126.84
45.05,133.33
17.99,56.59
12.23,41.87
39.14,119.57
14.1,42.92
41.22,127.17
21.48,69.57
33.54,111.29
5.23,21.29
31.38,93.27
22.86,65.5
29.54,83.8
8.82,32.81
36.98,111.72
43.21,136.62
11.23,43.41
5.24,23.08
1.67,9.1
32.28,109.23
30.55,94.81
27.56,84.07
11.98,42.28
19.85,67.64
29.93,84.44
25.09,84.71
49.4,146.69
7.25,18.55
34.91,108.35
20.51,62.29
21.7,71.75
36.02,114.49
34.78,110.56
49.57,158.6
6.86,24.3
5.65,23.43
36.35,107.39
29.13,96.23
14.07,45.21
4.43,17.16
4.74,17.85
44.76,138.89
10.0,33.52
16.51,45.86
11.72,45.12
18.07,56.62
3.94,15.31
26.19,82.81
3.85,18.64
40.12,123.38
12.07,45.47
27.23,94.19
44.06,143.74
32.72,104.17
26.88,83.34
16.55,52.25
16.98,54.47
33.64,102.52
49.71,155.79
33.26,103.88
28.11,89.27
36.67,113.77
23.53,77.39
3.48,16.45
28.33,88.59
47.9,148.11
9.18,31.93
34.66,111.65
10.45,33.23
27.02,84.21
5.29,13.26
22.79,69.08
37.93,117.85
17.7,56.37
33.41,97.39
39.87,126.72
46.4,140.66
12.11,34.86
20.27,67.26
8.04,32.47
49.63,144.13
46.39,146.89
27.23,85.82
42.18,130.52
26.29,79.38
31.37,98.48
4.91,19.37
37.89,127.67
6.82,27.55
41.39,129.16
39.21,127.36
35.58,115.29
2.29,6.05
15.5,54.16
13.52,45.96
18.33,57.18
4.84,15.38
46.88,145.05
27.91,88.7
15.62,56.46
20.15,56.44
22.64,67.87
30.23,96.47
26.03,82.52
46.01,143.47
25.1,78.47
49.61,154.83
42.65,126.58
10.82,45.85
46.56,146.36
6.26,25.61
40.96,123.63
19.34,60.67
43.96,138.92
43.47,134.01
40.39,127.25
39.61,120.7
15.58,46.39
4.51,22.96
20.45,62.76
9.09,35.91
34.9,106.35
17.63,57.26
48.79,149.83
32.23,100.84
41.21,131.67
7.06,32.71
43.17,133.74
46.18,144.01
24.61,77.75
30.51,96.88
38.36,117.2
9.15,28.32
25.38,82.43
20.23,66.59
7.75,32.78
18.69,61.28
3.87,16.43
1.78,12.4
7.19,30.51
48.17,148.89
27.7,77.81
48.31,145.72
21.91,75.01
15.93,59.63
25.55,87.0
22.26,70.01
5.73,20.88
32.22,104.62
11.19,40.98
31.17,88.57
32.68,103.23
8.03,28.86
3.54,11.0
39.15,120.05
23.26,75.84
3.38,14.27
49.75,157.97
3.36,22.12
34.9,113.49
49.19,154.36
12.34,41.42
7.54,30.81
6.51,22.04
15.51,49.35
5.5,16.58
34.76,103.08
3.58,20.87
25.72,83.23
49.84,156.63
40.79,126.87
30.95,105.42
15.66,59.01
31.38,99.08
26.59,84.65
21.59,68.89
6.97,21.45
44.39,136.52
22.76,72.03
10.13,26.53
18.7,52.0
21.0,67.74
41.46,132.72
36.81,112.36
38.58,127.74
1.05,7.01
21.1,64.91
24.33,72.28
