Customer_ID,Annual_Spend,Order_Count,Avg_Order_Value,Days_Since_Last_Purchase,Product_Category_Count,Mobile_App_Usage,Website_Visits,Wishlist_Items,Coupon_Usage_Rate,Return_Rate
CUST_000198,66676.48,58,13162.81,152,16,14,68,45,0.629,0.393
CUST_000199,62364.16,187,4120.69,28,20,73,196,63,0.223,0.093
CUST_000200,26901.06,221,3293.46,152,8,83,15,30,0.388,0.089
CUST_000201,76914.61,208,4871.53,72,23,21,181,22,0.857,0.286
CUST_000202,88658.68,182,8902.87,253,15,49,190,60,0.739,0.072
CUST_000203,127789.02,46,23277.13,3,1,47,17,80,0.155,0.16
CUST_000204,125199.21,22,20032.02,236,19,116,106,49,0.608,0.117
CUST_000205,22825.45,192,10933.48,37,15,72,16,45,0.629,0.067
CUST_000206,31055.23,8,12428.3,19,9,119,124,87,0.091,0.232
CUST_000207,85864.41,123,6787.11,112,5,50,81,42,0.466,0.149
CUST_000208,85789.35,20,17667.95,22,16,95,3,9,0.261,0.185
CUST_000209,85865.16,179,20108.59,135,13,16,114,94,0.467,0.078
CUST_000210,888164.31,78,6124.84,247,16,105,94,19,0.777,0.307
CUST_000211,89288.09,39,1237.18,300,22,82,94,15,0.158,0.126
CUST_000212,132573.96,37,15672.45,96,11,103,136,77,0.123,0.137
CUST_000213,116751.29,178,14150.3,32,13,90,30,2,0.269,0.101
CUST_000214,94463.98,162,10172.85,134,6,50,132,29,0.952,0.174
CUST_000215,48017.05,75,16168.57,254,20,36,15,17,0.748,0.185
CUST_000216,101852.24,118,13855.21,277,17,97,41,58,0.019,0.212
CUST_000217,34857.46,104,6414.42,132,5,110,168,69,0.401,0.387
CUST_000218,50727.68,161,10063.68,237,17,48,29,83,0.257,0.362
CUST_000219,42627.1,31,10817.22,14,1,58,25,34,0.638,0.244
CUST_000220,63405.88,123,22030.15,276,5,9,176,18,0.459,0.016
CUST_000221,302628.42,54,24030.42,125,5,29,30,25,0.964,0.245
CUST_000222,16202.4,172,22346.43,344,7,84,49,34,0.219,0.036
CUST_000223,96798.05,34,18035.61,16,16,20,142,75,0.588,0.284
CUST_000224,19362.6,242,14707.82,311,18,117,51,71,0.7,0.156
CUST_000225,43029.78,199,17293.69,49,6,33,165,56,0.826,0.335
CUST_000226,128317.82,122,23489.91,134,2,72,37,48,0.407,0.377
CUST_000227,62629.77,113,6399.97,117,13,97,187,9,0.687,0.167
CUST_000228,28157.77,246,13470.99,305,10,49,19,84,0.303,0.184
CUST_000229,36289.63,62,17302.28,59,21,75,98,28,0.435,0.236
CUST_000230,96347.66,23,17045.33,124,20,46,43,94,0.896,0.079
CUST_000231,35909.0,46,6456.52,115,11,84,110,70,0.95,0.371
CUST_000232,69669.72,56,14750.94,172,21,83,88,97,0.719,0.173
CUST_000233,61814.94,135,19938.65,186,2,5,62,97,0.374,0.067
CUST_000234,37944.5,118,11981.96,87,8,49,117,93,0.82,0.305
CUST_000235,268541.53,217,19873.79,202,24,108,177,67,0.026,0.088
CUST_000236,93315.67,189,9125.09,360,22,99,149,93,0.103,0.057
CUST_000237,14507.2,131,23481.25,310,19,62,71,88,0.661,0.225
CUST_000238,68221.7,166,13441.43,319,20,11,53,77,0.291,0.269
CUST_000239,37674.9,212,14979.51,181,17,40,136,23,0.951,0.228
CUST_000240,108738.73,162,977.77,351,16,30,142,42,0.436,0.263
CUST_000241,34380.18,113,4422.67,167,10,1,47,94,0.429,0.046
CUST_000242,55253.36,44,15896.76,180,5,15,147,38,0.678,0.19
CUST_000243,85262.59,128,10612.79,299,14,0,162,91,0.768,0.143
CUST_000244,109757.5,108,12802.46,129,24,3,100,24,0.476,0.389
CUST_000245,25842.93,158,1761.69,148,19,46,194,82,0.214,0.02
CUST_000246,47374.96,17,20886.55,305,4,115,59,67,0.773,0.119
CUST_000247,42939.11,59,19655.74,208,20,64,97,33,0.32,0.377
CUST_000248,37898.6,138,4796.78,110,16,51,161,95,0.175,0.393
CUST_000249,206038.43,99,15931.37,136,24,46,99,88,0.632,0.33
CUST_000250,79498.0,84,20494.22,354,15,98,98,85,0.09,0.03
CUST_000251,24769.82,146,16093.18,210,9,76,72,52,0.971,0.225
CUST_000252,113834.78,45,7897.87,145,3,49,118,91,0.632,0.16
CUST_000253,264476.94,108,16471.56,83,23,44,181,54,0.986,0.323
CUST_000254,123343.16,219,5419.45,29,9,41,127,52,0.339,0.022
CUST_000255,20670.05,187,8092.72,64,18,94,139,17,0.971,0.079
CUST_000256,42660.82,62,6153.73,23,4,83,87,6,0.146,0.196
CUST_000257,145340.97,59,14011.74,210,19,55,104,62,0.041,0.063
CUST_000258,36484.08,177,2884.02,221,24,70,18,74,0.033,0.277
CUST_000259,81688.92,228,23346.1,89,4,56,79,41,0.465,0.328
CUST_000260,102975.24,191,8471.11,105,9,103,25,10,0.083,0.282
CUST_000261,31292.97,215,5630.46,171,1,32,150,8,0.512,0.176
CUST_000262,57430.58,160,12514.44,229,1,27,120,34,0.328,0.351
CUST_000263,6192.62,138,7069.55,76,20,113,32,86,0.336,0.055
CUST_000264,29229.35,11,13465.62,67,19,43,105,96,0.636,0.104
CUST_000265,50171.49,102,8843.03,364,3,113,184,64,0.163,0.196
CUST_000266,24998.02,70,3475.26,352,10,55,29,83,0.767,0.025
CUST_000267,187716.46,123,6794.2,91,12,43,150,4,0.582,0.038
CUST_000268,22002.27,233,11073.31,87,18,83,125,92,0.915,0.159
CUST_000269,44001.05,190,951.27,49,14,95,35,25,0.365,0.378
CUST_000270,65612.3,175,19311.93,102,10,72,124,50,0.983,0.363
CUST_000271,164208.35,34,15621.25,45,10,33,123,37,0.576,0.186
CUST_000272,21914.34,228,15113.72,178,18,13,170,2,0.973,0.057
CUST_000273,135160.01,101,13742.04,266,24,67,193,84,0.027,0.071
CUST_000274,60304.57,145,14839.77,267,1,28,180,58,0.728,0.151
CUST_000275,30119.98,232,23379.37,319,15,78,117,12,0.817,0.084
CUST_000276,82741.16,104,412.52,7,8,16,122,94,0.053,0.033
CUST_000277,68826.34,182,1385.43,264,3,82,187,80,0.579,0.27
CUST_000278,39334.14,204,4949.04,77,18,101,36,34,0.802,0.233
CUST_000279,62872.33,213,4349.07,239,9,8,60,86,0.561,0.117
CUST_000280,45719.51,40,4693.62,257,16,26,95,2,0.064,0.312
CUST_000281,64826.01,19,16864.21,195,21,48,119,52,0.693,0.31
CUST_000282,95176.8,67,11595.19,329,15,78,180,54,0.061,0.196
CUST_000283,181718.08,82,24796.12,130,5,36,11,44,0.817,0.039
CUST_000284,25173.05,181,5826.77,342,13,27,121,65,0.043,0.367
CUST_000285,266498.36,243,7908.59,260,22,49,34,66,0.137,0.267
CUST_000286,15268.37,64,24609.17,241,20,54,66,83,0.275,0.099
CUST_000287,53838.84,83,20827.6,170,7,3,37,43,0.633,0.244
CUST_000288,90383.96,47,11851.02,146,16,84,23,72,0.976,0.162
CUST_000289,72889.09,6,13954.0,269,7,119,80,67,0.118,0.254
CUST_000290,38719.95,16,21110.81,148,22,97,167,61,0.143,0.19
CUST_000291,51756.97,200,12128.31,298,16,18,192,24,0.369,0.194
CUST_000292,42399.82,240,5309.39,27,13,36,184,51,0.836,0.294
CUST_000293,39634.08,146,20745.42,148,17,3,71,49,0.467,0.245
CUST_000294,108523.44,180,13536.76,279,9,36,78,0,0.322,0.032
CUST_000295,76873.07,176,3995.46,181,12,50,113,38,0.561,0.026
CUST_000296,36862.99,171,12738.53,165,13,31,44,51,0.261,0.122
CUST_000297,112388.84,39,10447.44,16,9,44,199,75,0.401,0.172
CUST_000298,74243.81,177,21945.69,149,5,111,124,39,0.333,0.11
CUST_000299,105768.02,113,3326.17,338,7,11,95,59,0.804,0.261
CUST_000300,93035.85,140,21905.2,44,1,40,12,87,0.924,0.078
CUST_000301,33513.5,237,12902.83,329,4,55,109,72,0.76,0.282
CUST_000302,40452.08,138,10228.24,188,4,79,5,83,0.439,0.309
CUST_000303,101023.21,71,4216.79,138,16,13,96,68,0.504,0.05
CUST_000304,91790.05,110,17580.29,60,5,53,70,19,0.125,0.26
CUST_000305,59004.49,55,23184.81,293,22,62,46,84,0.747,0.385
CUST_000306,64999.13,129,9509.36,321,4,64,92,1,0.596,0.077
CUST_000307,146439.17,49,6191.31,32,6,115,100,84,0.902,0.364
CUST_000308,39572.91,164,13960.7,298,23,118,43,87,0.201,0.242
CUST_000309,87813.29,21,19945.41,111,3,57,31,8,0.76,0.236
CUST_000310,51972.25,37,293.44,290,8,95,2,38,0.685,0.021
CUST_000311,51411.81,116,15858.16,36,17,20,181,29,0.266,0.299
CUST_000312,129203.48,24,14993.6,99,18,3,83,53,0.667,0.191
CUST_000313,106701.6,55,8090.17,22,18,72,165,81,0.924,0.288
CUST_000314,105815.97,25,11395.29,217,12,119,3,57,0.918,0.324
CUST_000315,149318.24,135,6324.69,88,1,114,144,43,0.72,0.21
CUST_000316,60760.96,127,19789.17,208,23,45,164,42,0.048,0.105
CUST_000317,96506.64,234,15936.47,270,12,85,87,9,0.872,0.057
CUST_000318,48185.49,209,13411.25,236,11,11,105,47,0.658,0.064
CUST_000319,75125.58,93,9934.65,208,13,29,104,84,0.31,0.347
CUST_000320,54660.68,94,7426.33,277,3,93,35,85,0.187,0.049
CUST_000321,64080.61,71,20603.86,205,8,95,57,16,0.116,0.154
CUST_000322,90817.74,225,11394.91,77,3,59,168,4,0.05,0.134
CUST_000323,33767.21,199,12635.9,327,17,99,7,69,0.754,0.346
CUST_000324,259022.73,122,13116.55,97,13,70,194,73,0.236,0.191
CUST_000325,29607.64,24,11319.5,345,10,80,157,63,0.024,0.399
CUST_000326,25592.84,11,6550.99,364,17,64,85,65,0.397,0.295
CUST_000327,134682.79,73,3184.44,349,3,13,179,70,0.483,0.34
CUST_000328,104210.05,12,2643.72,335,13,110,96,3,0.169,0.039
CUST_000329,92677.77,35,18985.07,93,22,43,152,82,0.044,0.101
CUST_000330,92952.31,191,5743.49,79,6,107,179,27,0.189,0.054
CUST_000331,59363.05,196,1580.69,37,14,101,58,83,0.679,0.185
CUST_000332,31949.82,228,19978.43,227,10,25,29,93,0.082,0.287
CUST_000333,63137.06,220,4020.73,133,20,90,100,37,0.555,0.068
CUST_000334,37271.6,185,15703.62,195,16,108,66,65,0.146,0.052
CUST_000335,118490.0,141,8598.35,281,18,15,131,66,0.196,0.246
CUST_000336,54017.31,23,3336.71,100,13,109,92,59,0.393,0.092
CUST_000337,33595.65,83,10479.13,74,10,6,184,46,0.101,0.192
CUST_000338,47811.9,234,567.26,293,6,31,62,24,0.173,0.02
CUST_000339,79941.63,229,21057.92,207,10,88,31,65,0.349,0.272
CUST_000340,40351.86,167,12934.75,82,5,94,86,78,0.33,0.217
CUST_000341,33672.8,88,3651.17,142,6,15,50,66,0.749,0.259
CUST_000342,71010.36,80,6077.11,55,7,118,62,68,0.075,0.11
CUST_000343,71073.98,97,11309.78,360,11,104,79,39,0.86,0.111
CUST_000344,41988.03,140,4883.96,286,16,77,86,99,0.816,0.321
CUST_000345,43056.7,34,6861.26,210,12,88,109,49,0.766,0.287
CUST_000346,70434.25,199,13452.76,178,12,61,100,39,0.309,0.232
CUST_000347,21727.65,75,20848.7,57,23,29,128,36,0.823,0.251
CUST_000348,22354.33,159,10165.62,72,20,119,18,90,0.183,0.038
CUST_000349,36209.94,221,17980.99,214,5,70,100,68,0.124,0.342
CUST_000350,51564.41,128,21941.77,265,16,11,162,16,0.045,0.308
CUST_000351,74431.56,190,5564.26,72,6,66,190,61,0.939,0.236
CUST_000352,168173.14,141,20218.36,270,9,90,93,40,0.308,0.367
CUST_000353,109137.27,31,18983.57,353,5,45,80,75,0.918,0.067
CUST_000354,53532.44,130,9052.04,233,21,82,102,41,0.273,0.275
CUST_000355,59082.42,103,24740.09,318,23,42,112,30,0.908,0.385
CUST_000356,29680.02,15,6711.79,18,16,100,153,32,0.904,0.124
CUST_000357,59103.23,57,6519.12,112,18,54,12,42,0.924,0.006
CUST_000358,48919.87,75,19352.03,62,19,44,117,92,0.496,0.294
CUST_000359,75049.49,34,10979.5,183,12,59,85,66,0.866,0.003
CUST_000360,33554.91,103,8403.72,276,2,105,22,37,0.951,0.349
CUST_000361,86123.93,196,4630.84,161,10,70,106,40,0.325,0.023
CUST_000362,175065.81,75,19180.24,242,12,112,162,62,0.419,0.261
CUST_000363,55484.99,29,19700.78,144,14,79,11,39,0.719,0.151
CUST_000364,79316.24,194,14250.79,145,18,31,136,29,0.3,0.081
CUST_000365,97061.57,16,23941.38,80,19,7,77,46,0.754,0.359
CUST_000366,45213.26,167,8090.45,321,6,112,66,21,0.074,0.298
CUST_000367,70043.01,77,5646.55,320,5,76,107,95,0.523,0.136
CUST_000368,60404.25,37,17001.18,42,16,61,43,54,0.122,0.114
CUST_000369,64111.13,81,19008.53,312,14,74,188,42,0.293,0.294
CUST_000370,34852.95,149,5777.67,292,13,19,148,60,0.259,0.335
CUST_000371,60910.27,172,2099.95,175,21,17,6,73,0.839,0.286
CUST_000372,84846.48,124,20300.81,68,2,100,127,31,0.194,0.256
CUST_000373,165346.83,19,24417.25,55,2,5,96,3,0.808,0.091
