Transaction_ID,Amount,Time_Gap_Minutes,Customer_Age,Transactions_Per_Day,Channel,Merchant_Category,Location
T000120,1767.49,20.05,30,3,Web,Food,Mumbai
T000121,2223.47,10.28,27,4,Mobile,Bills,Mumbai
T000122,2336.46,16.98,52,6,Mobile,Grocery,Mumbai
T000123,1304.09,27.53,28,1,Mobile,Retail,Bengaluru
T000124,1564.23,21.77,46,3,Web,Food,Pune
T000125,1388.53,18.4,22,3,Web,Food,Mumbai
T000126,1804.89,18.37,42,2,POS,Retail,Pune
T000127,1263.26,8.85,55,1,Web,Retail,Hyderabad
T000128,1614.42,18.9,19,6,Mobile,Bills,Bengaluru
T000129,698.83,27.16,20,7,Web,Food,Pune
T000130,2097.04,19.84,44,4,POS,Grocery,Hyderabad
T000131,1839.53,23.6,50,6,Mobile,Food,Mumbai
T000132,2074.73,19.81,55,5,Mobile,Bills,Hyderabad
T000133,1405.54,15.11,46,5,Mobile,Bills,Pune
T000134,1965.65,30.0,43,3,Web,Bills,Bengaluru
T000135,1460.81,21.63,23,7,Mobile,Food,Bengaluru
T000136,1597.99,14.37,35,1,Mobile,Bills,Pune
T000137,1193.57,21.02,21,5,POS,Bills,Bengaluru
T000138,1587.59,14.3,26,6,Mobile,Food,Pune
T000139,1384.75,17.65,43,6,Mobile,Retail,Hyderabad
T000140,1067.77,14.5,57,7,Mobile,Grocery,Hyderabad
T000141,1874.85,17.09,43,1,Mobile,Bills,Hyderabad
T000142,955.49,6.08,44,1,Web,Retail,Pune
T000143,1433.18,21.56,42,7,Mobile,Grocery,Pune
T000144,1863.59,16.51,39,2,Mobile,Grocery,Hyderabad
T000145,1405.89,14.47,45,7,POS,Grocery,Bengaluru
T000146,1262.85,20.75,40,3,Mobile,Retail,Mumbai
T000147,1299.22,17.27,46,6,POS,Retail,Mumbai
T000148,1864.0,15.0,19,6,Mobile,Food,Mumbai
T000149,1087.87,21.02,18,5,Mobile,Retail,Pune
T000150,1679.83,18.53,51,4,POS,Retail,Pune
T000151,1927.77,9.13,20,7,Web,Grocery,Pune
T000152,1534.56,19.35,20,3,Web,Retail,Pune
T000153,1415.89,18.13,31,6,POS,Bills,Pune
T000154,1121.63,23.08,48,7,POS,Retail,Mumbai
T000155,915.58,28.82,19,1,POS,Bills,Bengaluru
T000156,1253.48,12.96,40,7,Mobile,Grocery,Hyderabad
T000157,1936.34,9.15,51,5,Mobile,Bills,Mumbai
T000158,1309.28,22.0,27,6,Mobile,Food,Bengaluru
T000159,1382.5,26.73,34,6,Web,Food,Hyderabad
T000160,1024.58,17.65,39,3,Mobile,Food,Mumbai
T000161,1604.06,23.11,54,3,POS,Bills,Hyderabad
T000162,1497.12,26.8,51,1,Mobile,Food,Mumbai
T000163,1303.52,21.57,39,5,Mobile,Retail,Mumbai
T000164,1182.7,24.22,24,2,POS,Food,Hyderabad
T000165,1634.26,8.15,19,4,POS,Grocery,Bengaluru
T000166,1551.52,18.89,46,5,POS,Retail,Pune
T000167,1580.67,22.16,57,3,POS,Retail,Bengaluru
T000168,885.82,19.38,37,3,Web,Retail,Hyderabad
T000169,2396.03,19.52,51,1,Web,Grocery,Hyderabad
T000170,1562.95,18.33,42,5,Web,Food,Hyderabad
T000171,1747.71,17.19,54,4,Web,Food,Mumbai
T000172,883.0,25.72,34,2,Web,Grocery,Bengaluru
T000173,1742.07,26.43,34,7,Web,Bills,Mumbai
T000174,1974.2,25.14,58,5,Web,Bills,Mumbai
T000175,1062.15,33.03,24,6,Mobile,Retail,Hyderabad
T000176,1432.53,19.23,40,5,Mobile,Food,Pune
T000177,1337.09,24.43,59,7,Mobile,Retail,Pune
T000178,1347.93,18.45,51,3,Web,Bills,Mumbai
T000179,1408.64,20.67,32,1,Mobile,Food,Hyderabad
T000180,1550.85,28.57,59,4,Mobile,Retail,Bengaluru
T000181,1528.8,25.33,49,3,Mobile,Food,Pune
T000182,1491.5,17.22,33,4,POS,Food,Mumbai
T000183,911.36,11.21,22,1,Mobile,Retail,Hyderabad
T000184,1029.44,15.41,21,2,Mobile,Grocery,Pune
T000185,823.21,13.96,41,4,Mobile,Food,Hyderabad
T000186,1844.51,18.93,41,3,POS,Food,Hyderabad
T000187,1466.02,20.27,25,4,POS,Food,Hyderabad
T000188,1455.13,17.49,58,1,POS,Bills,Mumbai
T000189,1680.35,25.97,40,1,Mobile,Bills,Mumbai
T000190,905.35,20.89,52,2,Mobile,Grocery,Pune
T000191,1469.51,24.73,30,5,Mobile,Grocery,Pune
T000192,1205.96,20.82,58,3,Mobile,Grocery,Hyderabad
T000193,1475.84,19.06,42,5,Web,Food,Pune
T000194,1417.59,20.51,35,6,POS,Bills,Hyderabad
T000195,1817.62,20.18,20,2,Mobile,Grocery,Hyderabad
T000196,1555.08,28.66,33,4,POS,Retail,Pune
T000197,1787.17,22.54,42,5,Web,Retail,Bengaluru
T000198,1272.78,22.4,48,7,Mobile,Bills,Bengaluru
T000199,1580.37,19.24,35,4,Web,Grocery,Hyderabad
T000200,1226.27,16.92,30,6,Mobile,Grocery,Hyderabad
T000201,1400.91,15.59,41,5,Web,Food,Bengaluru
T000202,1587.28,27.89,49,2,Mobile,Bills,Bengaluru
T000203,1561.44,22.04,21,3,Mobile,Bills,Mumbai
T000204,1418.1,29.23,39,2,Mobile,Food,Mumbai
T000205,2207.14,16.3,29,7,Mobile,Grocery,Mumbai
T000206,1897.81,17.72,28,2,Mobile,Food,Mumbai
T000207,1737.4,19.76,52,5,POS,Retail,Bengaluru
T000208,1310.09,24.39,49,2,Web,Bills,Mumbai
T000209,1650.79,21.22,54,3,POS,Retail,Hyderabad
T000210,853.63,17.17,55,7,Web,Retail,Pune
T000211,1640.97,23.45,35,7,Mobile,Retail,Pune
T000212,1353.38,17.59,46,5,Mobile,Retail,Mumbai
T000213,1370.43,20.12,46,4,Mobile,Bills,Mumbai
T000214,1937.22,22.46,42,6,Mobile,Grocery,Mumbai
T000215,1263.26,29.0,55,1,Mobile,Food,Mumbai
T000216,1811.76,11.41,25,3,POS,Grocery,Pune
T000217,2186.99,18.07,35,6,POS,Food,Pune
T000218,1925.3,23.71,55,1,Mobile,Food,Bengaluru
T000219,1407.84,17.98,49,7,Mobile,Food,Pune
T000220,1683.71,28.91,49,2,Mobile,Food,Hyderabad
T000221,1413.49,16.59,50,5,Mobile,Food,Bengaluru
T000222,1568.39,14.69,32,2,Mobile,Bills,Hyderabad
T000223,1573.7,24.4,26,7,Web,Grocery,Mumbai
T000224,1942.82,22.8,24,3,POS,Bills,Mumbai
T000225,1430.72,26.59,20,7,Mobile,Food,Mumbai
T000226,1272.0,17.58,36,7,Mobile,Grocery,Pune
T000227,1434.88,25.21,49,3,Mobile,Food,Mumbai
T000228,1041.07,25.99,58,3,Web,Food,Bengaluru
T000229,1324.21,21.06,32,1,POS,Grocery,Mumbai
T000230,1467.88,22.51,41,4,Web,Bills,Pune
T000231,1510.01,27.9,49,1,Mobile,Grocery,Mumbai
T000232,1877.54,19.81,51,4,Mobile,Food,Bengaluru
T000233,1780.17,20.9,29,3,Web,Bills,Hyderabad
T000234,1281.05,21.98,25,4,POS,Retail,Mumbai
T000235,1613.33,18.54,58,6,Mobile,Grocery,Bengaluru
T000236,2039.79,29.02,37,2,Mobile,Grocery,Bengaluru
T000237,1194.12,11.87,52,5,Mobile,Grocery,Pune
T000238,933.54,27.73,40,7,Mobile,Food,Bengaluru
T000239,828.46,16.71,46,2,Web,Grocery,Hyderabad
T000240,2266.41,13.7,29,1,Mobile,Food,Pune
T000241,1991.59,11.97,54,4,Mobile,Grocery,Pune
T000242,1626.93,26.49,32,6,Mobile,Grocery,Pune
T000243,1474.94,19.81,54,4,Mobile,Grocery,Bengaluru
T000244,1281.65,17.32,22,1,Mobile,Food,Pune
T000245,1548.77,22.26,56,7,Mobile,Retail,Mumbai
T000246,1649.75,9.56,40,6,Mobile,Bills,Mumbai
T000247,1714.47,14.73,38,1,Web,Grocery,Pune
T000248,1781.82,13.91,43,3,Web,Food,Mumbai
T000249,1837.04,21.54,57,1,Mobile,Bills,Hyderabad
T000250,1886.93,25.94,36,7,Web,Grocery,Pune
T000251,1229.93,21.48,45,2,POS,Food,Bengaluru
T000252,1477.55,21.64,30,1,Mobile,Retail,Hyderabad
T000253,1605.84,16.07,55,6,POS,Retail,Mumbai
T000254,1776.47,18.04,18,6,Mobile,Grocery,Hyderabad
T000255,1116.3,12.8,24,7,Web,Bills,Hyderabad
T000256,956.55,18.48,52,4,Mobile,Retail,Bengaluru
T000257,1657.88,14.75,19,6,Mobile,Grocery,Mumbai
T000258,929.26,20.85,53,7,Mobile,Retail,Mumbai
T000259,1799.22,24.9,38,7,Mobile,Bills,Bengaluru
T000260,1084.66,27.65,21,5,Mobile,Retail,Mumbai
T000261,1636.64,14.45,44,5,POS,Retail,Pune
T000262,1821.41,12.15,35,2,Mobile,Bills,Mumbai
T000263,1453.01,19.2,48,4,Mobile,Grocery,Bengaluru
T000264,1289.52,21.6,59,5,Mobile,Bills,Pune
T000265,1989.1,19.62,18,4,Mobile,Food,Bengaluru
T000266,1542.8,22.72,38,6,Web,Food,Hyderabad
T000267,1129.21,22.39,59,1,Mobile,Grocery,Pune
T000268,1781.02,17.2,56,2,POS,Retail,Pune
T000269,1414.32,14.36,22,7,Mobile,Bills,Mumbai
T000270,2363.82,10.54,39,5,Web,Bills,Bengaluru
T000271,962.07,21.34,31,5,Web,Food,Hyderabad
T000272,1218.71,28.2,56,1,Web,Retail,Pune
T000273,1699.14,28.14,56,5,Mobile,Bills,Hyderabad
T000274,1114.73,16.44,58,7,Mobile,Grocery,Pune
T000275,1581.83,12.22,55,2,Web,Bills,Hyderabad
T000276,1024.96,19.05,19,7,Mobile,Food,Hyderabad
T000277,1495.7,20.57,25,6,Web,Bills,Hyderabad
T000278,1688.56,15.4,33,2,Mobile,Grocery,Bengaluru
T000279,1242.56,26.18,29,4,Mobile,Food,Hyderabad
T000280,1236.35,23.95,47,5,Mobile,Food,Mumbai
T000281,1648.81,21.68,33,4,Web,Food,Hyderabad
T000282,1224.9,13.34,38,2,POS,Grocery,Hyderabad
T000283,1203.17,11.99,40,2,Web,Retail,Mumbai
T000284,1497.88,24.19,39,4,POS,Food,Pune
T000285,1346.49,25.83,41,2,POS,Food,Bengaluru
T000286,1266.17,24.96,26,7,Mobile,Food,Bengaluru
T000287,1137.2,26.57,37,2,Web,Grocery,Mumbai
T000288,1491.24,24.09,33,6,POS,Bills,Bengaluru
T000289,1220.16,21.76,38,2,Mobile,Retail,Pune
T000290,1584.65,15.15,48,6,POS,Grocery,Pune
T000291,1517.17,18.85,40,3,Mobile,Grocery,Bengaluru
T000292,1303.09,16.99,28,2,Mobile,Bills,Bengaluru
T000293,1285.31,18.49,33,4,Web,Bills,Bengaluru
T000294,1243.45,16.28,46,4,Web,Food,Bengaluru
T000295,1806.98,23.37,52,7,Mobile,Food,Mumbai
T000296,1357.83,14.19,22,6,Mobile,Food,Bengaluru
T000297,1979.3,18.08,38,2,Web,Bills,Bengaluru
T000298,963.54,25.16,43,2,Web,Grocery,Mumbai
T000299,1014.22,16.19,28,7,Mobile,Bills,Bengaluru
T000300,1363.64,22.77,35,3,Mobile,Bills,Hyderabad
T000301,2014.91,18.95,30,1,POS,Grocery,Pune
T000302,1899.81,14.4,46,1,POS,Food,Pune
T000303,1469.08,24.61,28,7,Web,Retail,Mumbai
T000304,1955.61,27.81,40,5,Mobile,Bills,Pune
T000305,2204.69,20.68,30,1,Web,Grocery,Hyderabad
T000306,1456.95,20.47,34,5,Mobile,Bills,Mumbai
T000307,1582.52,19.91,32,3,Web,Bills,Bengaluru
T000308,1915.0,23.59,27,6,Mobile,Bills,Pune
T000309,1560.91,21.23,57,1,POS,Retail,Mumbai
T000310,1426.03,19.41,42,2,Mobile,Retail,Mumbai
T000311,1226.64,18.15,44,2,Web,Grocery,Pune
T000312,1761.03,22.97,51,3,Mobile,Grocery,Pune
T000313,1209.84,21.01,57,3,Web,Food,Hyderabad
T000314,1320.99,16.2,37,5,Web,Retail,Mumbai
T000315,1075.64,25.68,56,1,Mobile,Retail,Mumbai
T000316,1065.54,23.03,25,6,Web,Retail,Bengaluru
T000317,1136.42,22.51,39,6,POS,Food,Pune
T000318,1639.89,16.74,44,2,Mobile,Retail,Bengaluru
T000319,1673.06,23.62,54,5,Web,Retail,Bengaluru
T000320,1556.93,15.72,42,5,Mobile,Food,Mumbai
T000321,1426.84,15.75,59,2,Mobile,Food,Hyderabad
T000322,1751.94,27.23,44,2,Mobile,Grocery,Hyderabad
T000323,1453.09,20.07,43,2,Mobile,Grocery,Mumbai
T000324,992.55,14.47,48,7,Mobile,Retail,Hyderabad
T000325,1399.34,15.29,21,4,Web,Food,Bengaluru
T000326,1637.87,15.62,57,7,Mobile,Food,Mumbai
T000327,1908.29,17.14,37,1,Web,Bills,Hyderabad
T000328,1302.51,20.92,33,2,Web,Bills,Pune
T000329,2070.83,24.78,35,3,Mobile,Bills,Bengaluru
T000330,1213.63,19.98,39,5,Web,Food,Mumbai
T000331,1693.65,17.53,36,5,Mobile,Retail,Hyderabad
T000332,1204.86,19.32,45,3,Web,Grocery,Pune
T000333,1192.33,17.3,23,4,Mobile,Retail,Bengaluru
T000334,1797.53,24.38,43,5,Mobile,Grocery,Mumbai
T000335,1549.31,11.16,36,2,POS,Food,Bengaluru
T000336,1258.04,8.88,37,1,Mobile,Bills,Hyderabad
T000337,1818.23,27.14,56,7,Mobile,Grocery,Pune
T000338,1815.06,23.89,48,4,Web,Bills,Hyderabad
T000339,1158.27,15.54,52,7,POS,Bills,Mumbai
T000340,1819.75,15.98,59,1,Web,Bills,Hyderabad
T000341,1315.87,19.93,37,2,POS,Grocery,Hyderabad
T000342,651.52,24.42,24,6,POS,Food,Pune
T000343,1586.48,20.44,32,7,Mobile,Food,Pune
T000344,1689.86,26.27,54,2,POS,Grocery,Bengaluru
T000345,1206.79,23.05,36,3,POS,Bills,Pune
T000346,1217.05,18.42,21,7,Mobile,Retail,Mumbai
T000347,1856.13,33.32,51,4,Web,Grocery,Bengaluru
T000348,1632.82,29.06,23,6,Mobile,Grocery,Mumbai
T000349,1652.8,24.52,51,3,Web,Food,Pune
T000350,1507.28,16.36,27,3,Mobile,Retail,Hyderabad
T000351,1273.91,16.0,37,2,Mobile,Food,Pune
T000352,993.86,20.47,38,7,POS,Bills,Mumbai
T000353,1397.87,12.18,45,2,Web,Food,Hyderabad
T000354,1406.04,16.52,50,2,Mobile,Food,Bengaluru
T000355,1863.44,22.53,36,5,POS,Bills,Pune
T000356,859.23,21.0,45,1,Web,Grocery,Pune
T000357,1343.44,26.41,57,2,Mobile,Bills,Mumbai
T000358,1274.76,25.15,20,5,POS,Food,Bengaluru
T000359,1308.72,17.42,54,4,POS,Grocery,Pune
T000360,1199.23,25.71,18,7,Mobile,Grocery,Hyderabad
T000361,1177.12,25.87,45,6,POS,Retail,Bengaluru
T000362,1636.46,16.14,20,1,Mobile,Bills,Mumbai
T000363,1316.6,13.71,52,5,Mobile,Grocery,Pune
T000364,1596.85,23.66,26,5,Mobile,Food,Bengaluru
T000365,1524.42,25.21,38,4,POS,Food,Hyderabad
T000366,1302.15,17.95,58,3,Mobile,Food,Bengaluru
T000367,1926.01,27.61,39,1,POS,Retail,Mumbai
T000368,1513.28,20.68,37,5,Web,Food,Bengaluru
T000369,1337.38,21.01,56,6,POS,Bills,Hyderabad
T000370,1321.78,23.89,20,4,POS,Retail,Mumbai
T000371,1291.97,19.04,31,4,POS,Retail,Hyderabad
T000372,1722.15,25.55,35,3,POS,Retail,Bengaluru
T000373,1161.79,20.75,55,6,POS,Bills,Mumbai
T000374,1588.53,19.68,31,3,Mobile,Grocery,Pune
T000375,1616.19,20.95,40,6,POS,Retail,Mumbai
T000376,1568.59,21.58,26,4,Mobile,Retail,Mumbai
T000377,1172.6,25.43,36,7,Mobile,Bills,Mumbai
T000378,904.93,22.64,31,3,Mobile,Grocery,Bengaluru
T000379,1729.46,27.64,21,4,POS,Grocery,Hyderabad
T000380,1815.86,21.07,33,5,POS,Bills,Mumbai
T000381,930.9,17.52,38,7,Web,Bills,Pune
T000382,1477.87,12.39,26,5,Mobile,Retail,Hyderabad
T000383,1107.85,19.45,36,2,Mobile,Food,Pune
T000384,1472.86,23.17,46,3,Mobile,Retail,Pune
T000385,1413.88,15.78,20,6,Mobile,Bills,Mumbai
T000386,1623.62,19.9,25,7,Mobile,Food,Hyderabad
T000387,1782.3,21.03,36,4,Mobile,Grocery,Hyderabad
T000388,2303.76,17.47,31,3,Mobile,Bills,Pune
T000389,1836.93,31.82,25,3,POS,Grocery,Mumbai
T000390,665.48,12.79,59,3,Mobile,Grocery,Hyderabad
T000391,1296.73,24.27,34,5,Mobile,Retail,Bengaluru
T000392,1493.5,25.38,28,6,POS,Grocery,Bengaluru
T000393,1252.06,12.43,36,4,POS,Grocery,Hyderabad
T000394,1794.52,14.17,50,5,Web,Bills,Mumbai
T000395,1740.75,22.1,40,6,Mobile,Retail,Hyderabad
T000396,2064.28,24.48,19,4,Mobile,Retail,Pune
T000397,1189.15,18.47,45,4,POS,Bills,Mumbai
T000398,1897.07,15.94,19,7,Web,Food,Mumbai
T000399,1581.33,24.57,31,2,Mobile,Grocery,Hyderabad
T000400,1394.56,18.41,23,3,Web,Grocery,Mumbai
T000401,1695.57,24.59,29,3,Mobile,Retail,Hyderabad
T000402,1779.39,19.02,48,1,Web,Grocery,Mumbai
T000403,1664.84,24.23,35,4,Web,Retail,Hyderabad
T000404,1850.2,16.65,51,3,Mobile,Bills,Bengaluru
T000405,1374.34,21.16,28,2,Mobile,Food,Pune
T000406,1701.89,8.04,51,4,Mobile,Bills,Hyderabad
T000407,1392.19,23.9,37,3,Mobile,Bills,Mumbai
T000408,1005.57,26.07,48,3,Mobile,Grocery,Hyderabad
T000409,1837.7,28.08,51,4,Web,Food,Hyderabad
T000410,1509.78,22.09,21,2,Mobile,Food,Bengaluru
T000411,1115.65,18.19,23,3,Mobile,Grocery,Mumbai
T000412,1516.14,19.75,54,2,Mobile,Retail,Bengaluru
T000413,1544.01,19.93,26,1,Mobile,Retail,Bengaluru
T000414,1493.59,21.99,30,2,Mobile,Grocery,Bengaluru
T000415,1348.36,25.1,51,5,Mobile,Grocery,Hyderabad
T000416,1058.49,15.67,28,7,Mobile,Grocery,Pune
T000417,1613.54,18.21,53,3,Web,Retail,Pune
T000418,1133.02,13.99,41,2,Mobile,Retail,Hyderabad
T000419,1529.67,19.58,54,4,POS,Retail,Pune
T000420,2082.55,27.81,29,6,Mobile,Retail,Bengaluru
T000421,1594.19,18.28,37,1,POS,Bills,Mumbai
T000422,1456.38,14.14,49,6,Web,Food,Pune
T000423,1182.99,16.73,41,7,Mobile,Retail,Pune
T000424,2450.58,18.65,31,3,Mobile,Retail,Bengaluru
T000425,1645.14,27.46,52,7,Mobile,Bills,Hyderabad
T000426,1908.03,18.98,49,3,Mobile,Retail,Bengaluru
T000427,1752.94,15.69,49,6,Web,Retail,Bengaluru
T000428,1229.49,22.04,38,4,POS,Bills,Bengaluru
T000429,1833.59,22.57,24,6,Mobile,Grocery,Pune
T000430,1680.26,23.58,54,5,Web,Grocery,Pune
T000431,1916.12,23.54,53,3,Web,Bills,Bengaluru
T000432,1212.92,19.88,21,6,Mobile,Retail,Bengaluru
T000433,2238.31,23.92,30,5,Web,Grocery,Hyderabad
T000434,1249.43,21.68,51,2,Mobile,Food,Pune
T000435,1656.59,16.22,48,4,POS,Retail,Pune
T000436,1223.87,17.65,44,6,Mobile,Grocery,Bengaluru
T000437,1722.4,13.8,30,5,Mobile,Retail,Hyderabad
T000438,1254.4,22.92,40,6,Mobile,Bills,Pune
T000439,2218.26,24.09,31,2,Web,Bills,Hyderabad
T000440,1582.8,26.85,21,5,POS,Bills,Mumbai
T000441,1106.93,18.38,51,2,POS,Retail,Bengaluru
T000442,1270.08,12.31,48,1,Mobile,Food,Mumbai
T000443,1834.28,14.84,40,2,Mobile,Food,Hyderabad
T000444,1564.72,14.74,51,4,Web,Food,Bengaluru
T000445,1460.68,23.21,23,4,Web,Grocery,Mumbai
T000446,1527.42,17.23,44,1,Web,Food,Bengaluru
T000447,1682.79,15.92,30,5,POS,Bills,Bengaluru
