Cell_ID,Throughput_Mbps,Latency_ms,Packet_Loss_Percent,Active_Users,PRB_Utilization_Percent,SINR_dB,CQI,CPU_Usage_Percent,Memory_Usage_Percent,Handover_Success_Rate,RRC_Success_Rate,Session_Drop_Rate,Power_Consumption_kW
C00018,906.5645198671493,15.096684995674071,0.0,810,83.24569191551544,19.343093552079143,2,41.12526155088359,78.81778053571784,97.30806368336718,100.0,0.5758415454097945,4.694967705990758
C00019,686.555666406182,16.077916150834078,1.1177090151046132,1499,72.29533890588827,12.15053487187356,9,31.989652681558162,72.01052921318364,96.8346045099632,97.49632109153038,0.4372658125222278,3.947075983763766
C00020,595.7853337596475,20.5449956784115,0.18037080257326377,454,63.95216100169315,17.274311904058447,3,38.88229670334925,90.89767502606102,99.27238274928509,96.26804849190674,0.2686739733483088,3.4418535687055885
C00021,1113.8167784058796,21.137012928212997,0.8299663151331642,1408,58.70866976312834,17.634202020092673,15,30.94176699433144,68.38085755416728,97.71811018696073,96.40147595327065,0.8435670334962637,3.322968368546929
C00022,809.3602659124235,14.557799976368525,0.9386884689790959,1282,58.167451575446904,21.808451684629812,8,79.0598324396617,57.652839358152626,99.66845838834539,95.47440114857892,0.28408271018870607,6.06235450937323
C00023,862.1550768438262,17.853872446434103,1.4803292979193254,71,64.11518496230887,15.167647496989517,6,82.87550731043265,65.14389565982015,95.60527154416766,97.83893207238494,1.43946522758662,5.388987749183643
C00024,593.5453264815778,30.853622151671182,0.145589800440444,727,67.38405522482803,13.436677121696148,14,60.76389840307892,78.65203692518945,99.27630066193524,100.0,0.17694296756262373,6.2305179518279585
C00025,752.0111095854671,28.36525902060427,0.0,2078,57.52178134864189,17.772265216065964,13,76.98330902233266,48.30937012109825,95.94216724179068,97.78750605219163,0.8094640476850007,5.039950900755103
C00026,869.9660661477759,20.617942018044193,0.8919247723768475,1281,68.36151354720182,14.772877480027237,5,57.41125085044423,50.22167126202929,98.55519212358455,98.45348435052242,1.3267418828855144,4.070008591385161
C00027,642.8211560639854,18.228020869009203,1.7002555907554269,2105,53.58827060997989,16.382453902081817,1,53.28799034138621,55.36559978103139,94.08248321493862,100.0,0.9396359037055235,5.823340922489938
C00028,917.625643302221,18.720187960309566,1.4194731764697188,1858,81.33851824894528,17.595602135544368,4,49.00532285703229,28.431258018520015,97.47027059873238,97.3938570322514,0.7702694849967117,4.466931998638232
C00029,741.8850358146151,21.681107836382502,0.904829707637313,578,84.21043599189947,16.084779181377723,3,49.41296215520382,62.071176126263204,93.03062411710818,100.0,0.3126065412152417,4.7208417702903525
C00030,797.4951250372102,11.863244608809566,0.5541819071839764,2087,59.43512214687203,22.815913714264084,1,27.13957198643744,31.708069440734608,96.4657250281165,100.0,0.1472923245729184,4.457175620924481
C00031,741.6928097987086,16.45574077545993,1.2035612983186552,1726,58.5974041732717,25.071475530022106,12,59.7565857449321,60.79588969398929,97.88070798775583,97.80333299197927,1.0080200435670343,1.5530957807159855
C00032,1183.4100732116087,7.988495556734463,0.3132269001477657,706,72.66875210514809,22.31455371479107,15,54.27398961614721,72.97934634202875,95.95806289753781,97.13369860397118,1.3024588963099786,6.104735012294853
C00033,847.570499547172,20.395338735631675,1.0381788846781097,215,88.98049139547348,9.144014174225683,5,68.41649303340176,52.846853090342464,94.89912474248807,99.04585706958547,0.5244600038087314,4.991003945957753
C00034,659.612032787938,21.883175638216446,1.0527350795833135,898,92.2999549637976,14.790131688490828,6,56.683422935894974,85.15673805280306,98.69223693859186,97.47871258622172,0.2443753969534595,4.82982306086851
C00035,998.0580841785741,15.100881226203756,1.3301049537494398,545,48.95885915145599,17.106739404839026,2,52.071333371756346,38.092486508722686,96.79307442030616,96.265167174399,0.0,4.43822393772944
C00036,630.248143005216,27.443920579740197,2.179830019455539,639,85.09457244477287,8.76863370324962,15,39.31852545986265,77.86891022447749,96.02085870593865,99.92185798028447,0.3076940625349849,4.663427820386131
C00037,887.595447100856,10.645406021985952,0.9962079835893836,478,69.07669993097208,13.620541414253598,14,56.2987582627917,70.12705584610381,97.08379184230856,99.82467108091562,0.6545372630003838,3.902721064153752
C00038,497.2593777016404,9.213750718741078,0.5455181871462507,212,69.36715449309197,17.04285015383725,3,68.28827015469092,34.259501275339666,100.0,98.23326740564534,1.3396492963346938,5.116579352307271
C00039,610.9265111982825,19.346710911359832,0.7872128439040028,2463,77.57068548475841,15.755129594354692,11,34.419898160490504,100.0,99.30700569956309,96.10570286940774,0.9692534768931873,3.192901655600868
C00040,885.4350224564422,24.282589815672928,0.0,1312,62.78563794375829,18.04325088654459,14,56.57452756625331,59.04382071744051,99.32514733637568,96.15571062317392,0.8220341618827012,4.686068432470547
C00041,982.9239843991738,28.103566148747213,0.45264343445547095,121,86.45050948162458,11.095858193615229,15,59.19477312753071,46.837739667665524,97.87109263798473,98.16084393262872,0.5399521354795476,5.061573470571105
C00042,880.8462906141947,15.24669442278636,0.5953587809434481,704,91.3594340765471,15.698588246415818,6,42.07483389487124,38.893692078239745,97.3329705451543,97.25019344824246,0.4667337130976174,4.301330866177097
C00043,829.1833091701167,24.472085000587775,0.5379558010327038,318,91.91926416302854,18.759548753632895,4,44.418586511655995,56.69972958510489,92.20783542333916,97.48836060178759,1.2622590390031854,4.870867792471024
C00044,795.801334793928,17.768949182995758,0.876177436016861,1826,42.3412781760208,18.05100735712435,9,59.15099527779186,58.0888969141506,95.64203930707373,99.53294473259001,0.7802954163033557,3.50866560776575
C00045,583.8660417338631,16.96423620035508,0.38879003380889976,1318,66.55514096907355,20.234467888239415,5,34.59842167073279,61.53968292809497,96.03885117359505,99.09976897613383,0.0,3.5341732291040358
C00046,720.4280424889524,23.301959624920034,1.3605153336622358,1065,40.971541227883634,19.942871809987665,4,61.29862687448907,55.533057656640594,93.25021587190493,100.0,0.4305841408411028,4.736717121026393
C00047,767.0850212272383,21.913937270480517,0.8001035324590986,1133,58.52079907084987,15.964465156229178,2,38.8836212741344,69.4983796517264,94.68516841956914,96.51406516493411,0.3567135872913492,5.178549654621052
C00048,1040.2820007194048,8.541647058094505,0.7953498394306928,55,34.03751693305513,18.60059441537561,6,74.1313664745979,54.1855525100513,93.03832705815474,97.48521264696993,0.48149439632901403,2.625134344498289
C00049,911.851292122323,26.859242098355374,0.6360526417435411,1031,76.7539995195923,14.000034526524818,10,97.0808994169894,30.975538241392936,96.92335232860526,99.13847254319018,0.9251642641140341,5.022020635110767
C00050,532.6527720347078,26.28054812488471,0.8775953419294896,456,73.28964453370261,16.64885840486356,2,39.506377569367245,57.759577565255384,98.63753194169763,98.67211751151933,0.6570220472823002,3.956798499623663
C00051,908.3351144910631,14.246623790942824,1.2125491323338173,2003,63.51098340164851,12.721912640251471,12,64.61574152274414,24.487835199400827,99.21354903724865,100.0,0.6692538371985352,4.307193912692587
C00052,780.685189525063,20.374821200624453,0.3664348921445499,2123,58.13277834174548,23.32712216138129,13,41.91864571212365,65.30655946337085,97.82956892415848,98.6308050588561,1.2253892645300946,3.160482076434963
C00053,728.1540399449275,20.964181117696434,0.4709417554623717,1035,74.71047436530505,16.63252849734634,7,73.7371751283602,45.31049654576047,95.07320731760286,100.0,0.4214155640853246,3.648382759813292
C00054,960.1017319913562,19.564042594943444,0.6481369856116677,439,54.828668929433555,23.319717231140316,3,32.22534863646613,62.45040532373701,93.13586968296008,98.81002670258471,1.4456798103549398,5.466125325530311
C00055,1035.579914049271,14.69816907692748,0.1270645382633926,759,53.808068278490104,19.55748034344223,9,63.65056165169883,79.71112472286906,93.486262601197,99.59325117138299,0.4314769634515655,4.532863373980213
C00056,1017.6304214409157,13.97025979237169,0.39037107013925115,1521,51.96375697097936,13.571688691718844,11,39.28619859599165,45.76876957098,94.462034845491,97.51472757982332,0.7356792786450285,4.117221598290442
C00057,698.940845819925,17.84667557405133,0.5618895632276706,803,66.94238603892026,19.2555329950076,5,51.274277396229365,75.91884387768177,95.22228060392865,98.02143081782599,0.5875185618388932,4.383511647368965
C00058,794.3417723467813,25.03637411555619,1.237194590356364,2243,61.26538645700856,22.048591325439226,8,36.44154504734847,53.4991564997077,96.68050300401683,99.36641660575921,0.7493676534003844,4.989211824664301
C00059,909.6274176526415,21.261600927566594,0.9312806645009626,1461,64.23642972304494,17.61209604198743,11,69.80230847612357,86.29792203098378,94.97167156374606,100.0,0.8778367980292515,4.940494496163338
C00060,1025.5981228820247,15.776314007483364,0.8967949556837722,1322,77.82713110028098,18.37014676170619,6,39.934353620087435,54.5227108020268,97.67795178733653,99.09385542396613,0.8735340960355505,4.424972999603199
C00061,763.7486371878479,22.630192263890066,1.2254489810839861,575,84.44944907289249,15.24271345822461,14,64.9353566679729,47.39260521739963,96.53545299440106,97.87524234209808,0.39875306775176794,5.592959110896668
C00062,816.581384200513,1.0,0.7313141058003018,1535,91.75721177343829,18.120516132386737,12,48.80623549127801,70.30857675592932,97.02109142348205,100.0,0.2508341290209717,5.4704626369066665
C00063,650.8597046789149,24.892594202232623,0.9952324249644449,2110,70.90205466952439,19.18949094401071,10,52.93949730762047,53.46315405564546,99.28050110534241,94.71203201558018,1.7012687163622844,4.913372029130396
C00064,634.6828076654792,7.561717327331403,0.748389123533752,2481,75.21383653844154,15.105920929407448,8,57.65960633320231,47.37825728806487,94.63953653159926,95.86664824773969,0.5064062641597787,4.5546117829100705
C00065,996.2546480309557,15.825354351581208,0.9326811746998143,605,72.83269535696371,12.603520316601728,13,41.287155910140726,52.832402239443134,97.83740915658474,99.02245133550258,0.9796849754687946,5.157321095119539
C00066,1094.1232051427482,11.281980632243137,0.508620671194209,68,44.88721451779145,24.43985249791597,13,58.78660804373597,59.33090201725498,96.97205354304785,98.02116253437968,0.05694347579072123,4.814267421801183
C00067,837.03817811554,10.231911145674566,0.0,624,64.4545441604337,21.020602529923707,11,82.5460221583794,80.13270196867282,96.33302743806061,98.90827047668625,0.5881549120381292,5.560800071805947
C00068,1030.6359216205644,24.964960724271116,0.7328604189068479,1053,64.52352665889005,15.261709473143078,12,40.99429385501114,30.988683818106345,98.77051264173193,98.09661128364792,0.6491202464070228,5.3995613767383075
C00069,915.0944845085742,15.19379279212865,1.51137406804997,1988,62.33780761345583,19.098286285790277,3,76.09258257892921,60.34620988425631,98.75802830911401,98.85641854190581,0.8891260279711329,3.4817460985822715
C00070,733.8784441710776,20.079023290384296,1.2631077011207963,1989,69.38591007071743,10.607106661635054,3,81.96575740278011,69.37355391981065,95.10701840802314,96.77839576851021,0.0,3.4140368292582934
C00071,915.0512089915145,17.718476526724896,1.2826987422955853,1685,66.70779170178507,8.11464513044822,5,40.309210197495204,62.90172862487694,96.63567883228416,98.85572912911954,0.7664562452313322,3.7987504555959237
C00072,1126.8465819638745,20.86224496333873,1.418065360903109,1748,55.20509854112414,23.420665437389005,11,28.809017108370064,79.64797754150301,97.56242336516813,99.49162179231138,0.24010341785284278,5.4761386900669216
C00073,843.5513129602087,18.460931346361534,0.8443287954807188,2219,67.7346106922942,19.147755701307705,10,60.43529620309177,58.884820053622136,96.45398650395484,99.83082590589684,0.8297382844779695,2.9236910032287544
C00074,1131.6358580465212,10.302046654868583,0.8986578537027978,481,60.41424404372454,17.761487652576918,3,45.14666459019629,57.23172836721082,98.17004266457559,100.0,0.28546832126473476,4.894757389107993
C00075,378.445881263846,23.97760091668284,0.49117405228282496,2141,30.711359096246618,19.163286024064764,8,88.63485794493404,68.88494320520014,97.56238403582056,98.36614766525358,0.3578069216297674,4.862543091092961
C00076,997.9424507875403,15.037460501032125,0.6419635719864751,1945,49.043966195343046,34.130658294598504,10,55.62653572899698,61.48970722427025,100.0,98.41086663027077,0.5905489558426926,5.662648058686193
C00077,865.6684722828708,8.660508608041493,1.1078855748855707,1993,71.33371488719618,22.345476431226622,13,40.56041065536677,54.14386892579294,93.93944172814042,95.71524130373923,0.2790682121587218,4.680338690663888
C00078,796.1786769161439,15.431309034204524,1.4019422185844082,1390,86.37836971231164,12.772798668125965,12,34.351128801789194,67.74216059379569,96.75512802050521,97.20288289829236,0.509786221305858,3.1567906094160993
C00079,866.5169397763904,27.004558743805866,0.7302768621595003,2478,33.591951134826026,9.598118040398376,14,74.61828926363495,50.21207560175032,95.18299497697562,97.71037688899008,0.2226496925826738,3.540645039351877
C00080,492.2375953718393,23.10133045268096,0.5749053675742942,194,56.94412549369514,23.272678816797082,8,44.71868846648464,50.83234271971009,98.20821491087808,99.57547932841453,0.0,3.3180044781021754
C00081,810.4590601892478,15.908087193552845,0.8002639794282987,2460,76.47180750992139,22.280479271150035,2,55.78891839028771,52.08008967351579,93.7656562199089,97.08349831386556,1.1071828209717438,3.9620560336668595
C00082,914.2802628721143,15.904453774089427,1.1006033744645576,1123,83.17293195629752,20.875303837752206,12,72.20444941202466,80.29603740249611,97.69262542044977,99.19451002962325,0.18158052287042858,4.317098432576073
C00083,1116.020928053473,16.070189692695706,0.07807259193322913,1138,63.69829657635973,13.935604845503034,4,46.283349665245055,11.684754660214296,95.73990313730332,97.99756742455493,0.6285276449568066,3.334558473778943
C00084,756.7113607107435,30.460487901365045,0.0,2452,59.75826462368396,19.816426949419878,10,54.17328108267711,65.93398252144414,95.53167626775797,97.73424782732786,1.001156432597514,5.970661990652289
C00085,704.4711514792263,20.29161271338932,0.5247315752542083,849,88.2956612483529,14.383274156282674,13,54.70176862319464,60.51407721300333,94.10700359291863,98.37334095369988,0.4540223589935827,3.174718628047559
C00086,759.6837321547835,20.58024988314642,0.18964378704292073,1201,81.94139058997852,21.313909430104808,1,67.29984120728966,34.7869431114282,96.06984810759799,97.41326544162074,0.36993364010178476,5.8461034238624805
C00087,1014.7723811863733,24.181700724191053,0.5459299011763445,2495,82.87927597114023,22.913284536361708,4,65.63339803918586,64.64590168704004,99.16900106058185,97.356444127861,0.7904952354669685,5.68516303143934
C00088,909.1751997387432,19.43273495415908,0.7261098405912643,2006,62.97903996263882,15.282636205852324,12,51.03795283741309,67.13627987747299,96.94962263294104,95.44282114131482,1.147173529090861,5.398302549689035
C00089,754.643163321933,16.44574712507578,0.5733757954884934,512,86.70541356525518,23.65905080607712,13,56.14568310693732,68.844588470361,98.25536083574895,97.62806868900816,0.23227389396541237,3.8062333925032497
C00090,942.388137960404,16.821900905490132,1.5262337672353727,1824,40.823969007044326,18.57426199781355,13,48.307977792577205,20.222579054325763,100.0,97.28004778077691,0.6399408671930243,4.842450879176901
C00091,867.4739588826473,17.570392443515615,0.9633723823011601,2095,86.9684513748852,20.459366062209927,11,28.402976675449995,80.49584117781657,97.52751116964515,97.22602851597638,0.007002162013068913,3.222628866449382
C00092,1024.35609829592,17.77666658094095,0.9502371798054142,857,69.00201769837166,11.451833181545979,13,59.636815433166326,48.933949429727384,95.88240085587532,98.62530959388506,0.5427195985271239,5.410907035033749
C00093,723.6304431020766,22.36577726182188,1.111103572021701,236,71.93401286871722,19.161072529774497,4,89.05945169499522,70.29851620129764,97.93450443036558,98.98794792918576,0.7136818738152302,4.426015218463731
C00094,791.0208136124018,18.311675314843797,0.23058344110961548,1793,55.82121012883785,14.62207806292666,10,39.09305546756087,71.11610671023429,95.91140770737141,98.34829175696349,0.3581501432979737,4.090679785413315
C00095,779.4205324362116,22.395840463293474,1.3195558937101344,781,42.789604778377736,20.37316727007087,9,41.085465227151346,46.84954371571061,95.99115463340566,99.49312278567422,0.5172032664699073,3.2762551533437305
C00096,586.5673093362186,17.515700519348506,0.7621178567322701,1985,71.61556221687596,25.335813348256313,15,39.32690011041265,69.90689928527325,93.96021440076203,98.86334288874555,0.13670929267701992,2.022493881370983
C00097,903.3016498716237,18.471811141896545,1.1352403086206064,1263,78.27091824387097,19.447601046581763,3,68.04265201701621,54.21760138631463,98.85251498216878,97.55741571529154,0.7308314445525974,3.461459142964244
C00098,896.98994899238,6.010795892807355,0.2640713834799223,1461,80.54038577228147,13.495725467834081,15,63.07273817553592,28.92934230992764,96.22799484870112,97.30571557142844,1.12227769955326,5.612798195612907
C00099,850.9204221956429,23.497966048214888,0.02312061699196788,478,78.9216789373688,21.13233045888793,2,52.14632153650378,77.51612888291669,97.36419649163173,98.46923335515027,0.26114245209181447,4.097166571525196
C00100,807.7743159924736,20.078930855387956,1.2089448290125144,1357,75.52242542580186,20.008943728938583,9,38.47565689049863,48.3743255547564,94.92807614278672,98.86065066485286,0.4509312933790468,4.3306711428849525
C00101,595.2332664309254,23.988060659157913,0.9882047630487584,2334,56.1432034571056,28.293008732001546,9,56.662782249518635,47.18259805892919,97.87189525943094,100.0,0.9010184985816727,5.155554358288453
C00102,774.2838419022354,1.0,0.34897422282124485,1267,81.5121410878005,19.269839804504716,1,26.836801707955523,53.95401197944917,95.47611752372983,99.78675956741014,1.1848362877290946,6.305668878116265
C00103,788.3113870251815,30.530248228684364,0.36516845936265285,1360,54.46566478787007,15.072625043879658,6,57.581678203434876,64.08355087991082,96.71658255659635,97.18779049023925,0.10272407511642745,5.825004654945639
C00104,705.5900915401086,17.162462231068957,1.3627173922073847,820,86.60596354097702,21.85320612823189,10,70.68743894958281,59.140943837668466,98.75565206247825,97.8469905798091,0.6324861050336202,3.527664996183812
C00105,820.9685719001184,24.6490969004251,0.20529405356633612,807,68.7402719679074,17.361609638472032,8,32.4784155405938,68.22100387060756,98.58151862446506,99.00652670737665,0.81325232892781,2.5574294285625934
C00106,922.7291542266169,11.760564437246815,1.6213364766279819,185,69.23936170201775,18.40125494855887,3,27.414671017066055,39.90765950207012,96.95593985496612,99.60199666708846,0.6591774437484608,6.859614259100104
C00107,1189.5134622178955,21.676643430375417,0.3496896326760657,841,82.98889927457653,13.357619848122239,11,83.42988205050747,48.86420444353898,93.46373793458656,99.40845420305719,0.0,6.7689916116594535
C00108,881.424006309731,11.679506620958064,1.1191959628041914,220,85.02202938301208,17.38782593598293,9,43.98832648891747,58.26004391517699,100.0,97.90418325075298,0.9004360037235087,4.688453596429283
C00109,896.3590703300976,14.25738623582517,0.6356907621255077,2256,81.55958018425207,18.15402348745218,2,75.4470612269888,88.46830938988059,100.0,96.11896602135722,1.3077345404362577,3.229511754418178
C00110,836.5997351620899,29.484188123200717,1.1015937155411715,2298,57.69313225666497,17.35825662131561,6,52.22804202643903,58.29281192379363,98.4453496497766,96.50159543563161,0.7466647004678013,5.463226533893939
C00111,504.6211812461725,16.85590559541992,0.5279429989429038,1630,81.44004325657828,15.045563187845893,1,52.08481329505611,76.27833395492448,95.49359243681806,98.40895027147913,0.2875575786822946,4.39201631398739
C00112,845.2275024191409,19.304597239078337,0.718603546963853,1011,57.778155850443284,19.441145651726476,13,62.89142859093961,60.578327531764764,96.77281567659607,98.51333836913652,0.49474910145428674,4.387018876893389
C00113,860.8414377893847,23.220406384132524,0.8204595876978606,925,81.81852102591489,13.38263791579083,7,39.08802057856407,52.74512043843647,95.91315914044696,96.35198093984842,1.4079652270622371,5.394458843105129
C00114,1293.3835802473516,20.974091327835627,0.2989062721092637,2468,48.62255205906603,12.205026997380024,3,57.384948582921616,56.299133638283394,99.52771187819278,98.06685441633391,1.0639850163442235,4.834374746873299
C00115,815.3750263393979,18.902513430861458,1.170412172710063,152,68.59479907092452,21.547680853632205,7,48.13319053316633,57.473704319566785,97.52500578170367,98.94683653545768,0.9560106473537318,3.314185088985055
C00116,904.2785216200502,20.189766014797353,0.5433932167642075,1051,57.68663290741493,21.088750890436422,4,31.231118018709434,69.05468608441107,95.43167228328034,96.27316001373929,0.8425650334137504,4.175258064918026
C00117,843.7518814530562,32.420493511429655,0.6857000423299907,1198,83.04903478672038,11.461977596598238,9,61.07467734507518,80.61916901364832,96.05848980175044,99.65749580270662,0.43554515512361097,5.1611529286613465
C00118,639.6379532284842,17.654287217798487,0.3028253126957439,1531,86.7275016113352,8.852224767837686,5,50.26045947619751,65.39521271529482,99.24237628513981,97.43370327716026,0.6197715277376925,5.010252222405018
C00119,1055.7081066127037,19.206594280289806,0.0,707,72.98494770687898,12.956289773017158,3,52.17355308799526,77.80616518112633,100.0,99.88641966886497,0.6688309057285936,4.7620165743584755
C00120,985.3479458836193,24.303926376045673,0.7044861186999155,1270,72.49163715906826,17.35850502763401,15,33.21710301854516,45.52815393555471,100.0,97.19982133133615,0.9198297264257775,5.433422954475864
C00121,992.3857504677485,24.6331555977479,2.0063077108064578,472,80.56265683721703,23.77174787382753,8,83.64520661973047,53.78054236778954,98.51406413010795,96.46006177567374,1.3035675577067614,4.138283012182735
C00122,686.310258136947,25.12218183336228,1.192302143949012,220,86.81672319923676,17.236277160937398,6,70.78085535495009,49.135461986885,96.49475026239473,97.31279451523741,1.1473352547172513,4.678669775219072
C00123,1102.5029759684978,21.832381332175107,0.7903698101328027,2270,70.55966761993243,14.153194756359843,2,72.35480591509561,64.71666886312279,90.51697234934176,97.85727781538402,0.1322462576815837,1.1244208998224
C00124,597.6668086973895,11.141970523617099,0.6685545853958662,502,62.50487012578029,18.7429311454153,3,49.501995356049726,54.615624222308796,97.59432004761645,97.41728013984277,0.7895979875604194,4.050349806157186
C00125,955.6342768840486,27.800589193806577,0.8112329464060233,2447,79.70901229660733,17.429919423752096,8,23.874707988938436,70.94659405551293,96.9963424823118,97.67599786764033,0.9947053380671588,5.263902908575645
C00126,1244.2820126457962,11.121927641887872,1.073559557587605,2025,42.11908943359494,11.094963462735011,15,90.15251288481119,46.034974325513375,97.27996419264271,98.50094772451429,0.9475441320578541,4.109605532882857
C00127,671.7034614764761,19.815812791434197,0.20959359234557762,1707,83.64477309338238,11.124685575406444,10,53.90024485589437,60.64546459981922,97.10779469406641,97.7432309453054,0.4483064946450322,4.033772608282888
C00128,748.066408671501,13.474344899883853,1.357160847334436,2103,59.34719575837432,11.259012489423533,7,41.521603671639035,70.30286866518384,94.34747567610168,97.90083140907198,1.8656436863073447,3.4585470482251814
C00129,867.9372457157754,17.615169920442046,1.157690657720622,337,66.39658200591326,30.399257674539683,10,62.50242834069605,29.020458374390845,98.11481711370237,95.4361604011961,0.1891661750675524,5.503365892729145
C00130,759.3743822590841,19.972574461820884,1.1590928628539672,1691,83.74076984677467,22.299907201368065,6,76.00817418405936,91.82446960995304,98.2644326280637,98.5875470240157,0.26672462133357994,5.048463273540571
C00131,570.8805824080962,19.928143292701638,1.0192378694048636,1497,63.76735725415463,15.031419707323188,14,54.58508999046161,55.752721726801866,98.36467756411932,97.8661950534625,0.7934380325046305,5.325414597823085
C00132,862.341335465085,20.531524525411708,0.809808328846995,1963,79.71113317862205,23.541334114144657,1,78.01435302290874,29.624401294857407,98.89315400714678,100.0,1.5467212219855413,2.77378603804211
C00133,658.7853315293012,27.682267614351883,1.13643061798341,657,87.08363131111622,15.159718561692674,9,74.49399889330363,62.37140847865179,98.20810328984325,96.59065224911906,0.36552205971833157,4.339549956734366
C00134,935.2466375143326,20.72120580908388,1.095907066870689,506,71.65049635071259,23.375901984868648,3,35.62513862676295,60.501652019597266,96.17994117692218,95.28755700725073,0.593668653741203,4.219888992249993
C00135,684.5036378379154,16.535060188256107,0.6229796445294882,1814,74.67172233737068,18.401532285347272,14,42.871778098129425,58.771584306412606,96.85832630416782,98.92710274089507,1.1309174692062771,4.219428293401448
C00136,1128.9881929031571,23.784523009730144,0.5131991135515496,1275,68.20846189084422,14.705743751013514,5,72.23566893903582,74.8678666939,97.18224973450675,98.5197905274695,0.6928551380449065,3.883972456282044
C00137,709.0144073794773,25.136822933547844,0.8509281476309933,1285,71.7339699559558,21.39910172914485,7,6.172973851412117,71.21167457140584,97.21539889821324,96.48735046920328,0.5661584581878817,4.153895728219985
C00138,792.0289270829784,10.634353109178045,1.5745100757475936,1079,53.25392830074952,18.687597863618425,15,52.3097975230302,64.46814286535768,98.99643531194346,95.70537656749386,0.926253160754688,5.349644782706652
C00139,996.4330991265406,21.584400419099147,0.1804464621730496,2473,65.59392870162887,19.99133886089663,7,29.245038370755907,66.75233450919971,98.28733750604498,100.0,0.8090071960918372,2.587148646652171
C00140,628.4444230418881,22.207036453865392,0.06623736712378003,496,50.67691589526221,19.077535115920544,3,46.42203157419655,58.4346232584287,100.0,100.0,1.1121755142547165,6.277294768030454
C00141,890.9427882287433,16.214618979840047,0.8823804206182584,884,56.518491632089024,19.02507386435464,15,49.62123839747433,86.63236273860073,100.0,94.26881486194081,1.2165875556261452,4.983841125026461
