session_duration_sec,avg_latency_ms,packet_loss_percent,signal_strength_dbm,throughput_mbps,jitter_ms,handover_count,connected_users,cpu_utilization_percent,issue_type
481,87,1.34,-72,42,15,8,229,75,1
300,162,6.41,-83,21,40,7,126,66,3
417,140,6.51,-84,11,30,4,131,79,3
429,27,0.17,-71,150,2,0,56,32,0
483,118,3.0,-78,32,20,6,181,95,1
477,82,1.84,-77,37,17,6,192,75,1
301,107,1.39,-71,35,27,5,290,85,1
398,122,1.34,-68,26,21,8,275,93,1
450,118,2.5,-78,23,15,7,194,85,1
350,29,0.12,-66,201,3,1,43,26,0
313,127,1.5,-75,39,25,5,267,79,1
425,25,0.47,-70,164,2,1,48,38,0
411,163,5.23,-83,10,33,6,122,83,3
345,135,4.89,-80,10,41,6,120,89,3
347,94,1.26,-78,21,26,3,251,94,1
309,22,0.07,-69,225,2,0,47,29,0
306,117,1.42,-71,45,23,7,263,96,1
382,110,6.55,-79,19,45,7,140,85,3
267,39,0.81,-107,77,5,5,86,55,2
408,39,0.91,-110,51,10,3,60,54,2
439,12,0.31,-73,197,2,0,46,33,0
302,137,7.8,-87,14,38,9,118,71,3
299,148,7.9,-81,19,31,9,157,84,3
406,98,1.46,-69,32,29,5,264,94,1
331,55,1.49,-107,64,6,5,42,35,2
397,172,6.7,-84,15,35,8,120,87,3
338,35,1.72,-100,83,9,3,70,53,2
461,113,3.49,-77,43,23,6,284,76,1
303,126,7.3,-80,20,50,8,106,70,3
447,167,6.51,-87,34,50,7,119,71,3
361,82,2.99,-75,26,17,5,258,95,1
351,167,5.9,-80,17,45,6,176,84,3
270,43,0.64,-117,56,8,6,40,54,2
285,164,5.56,-81,11,38,7,116,75,3
318,49,1.68,-107,54,8,6,92,35,2
430,105,1.3,-75,33,20,3,252,79,1
324,139,5.58,-86,32,50,4,168,80,3
348,96,3.47,-69,25,25,8,269,82,1
422,115,6.88,-84,15,34,4,166,86,3
358,14,0.29,-73,200,1,2,33,26,0
295,31,0.66,-106,53,4,6,43,36,2
300,111,3.37,-77,30,29,6,185,86,1
233,60,0.82,-114,56,7,2,66,48,2
301,146,4.75,-86,15,36,7,163,65,3
287,111,6.31,-78,14,47,8,124,88,3
363,57,0.8,-109,59,4,4,81,33,2
404,14,0.43,-67,173,3,2,62,35,0
419,92,1.25,-72,28,18,5,276,88,1
370,128,5.4,-81,35,41,6,103,78,3
336,59,1.48,-112,50,8,2,71,44,2
379,165,5.31,-90,15,32,9,128,78,3
400,18,0.41,-75,240,1,2,54,31,0
428,126,2.75,-73,58,28,5,182,76,1
369,124,6.79,-87,12,45,8,103,65,3
371,128,1.39,-71,47,25,8,203,96,1
360,82,2.06,-71,38,21,3,232,82,1
304,120,2.81,-69,26,21,5,228,83,1
431,145,5.94,-81,19,32,6,137,79,3
382,84,2.02,-71,39,27,3,194,86,1
495,94,2.34,-69,26,25,6,286,86,1
413,141,4.34,-82,26,46,6,108,79,3
388,46,1.72,-117,84,7,2,85,43,2
253,21,0.35,-67,199,2,0,33,32,0
348,120,5.38,-90,18,35,9,125,72,3
456,121,2.86,-73,41,16,4,268,79,1
259,32,0.76,-100,87,8,2,79,38,2
376,52,0.56,-113,57,9,6,55,43,2
374,110,4.16,-84,23,47,9,118,88,3
487,99,2.1,-76,27,20,3,233,77,1
404,25,0.42,-70,229,5,2,35,36,0
361,107,1.88,-72,29,27,8,291,87,1
484,102,3.14,-69,32,17,5,233,75,1
278,10,0.21,-72,165,5,0,28,26,0
295,13,0.12,-74,182,1,2,63,43,0
388,131,4.19,-82,23,32,9,153,81,3
389,11,0.24,-65,202,1,0,44,25,0
305,164,5.57,-84,13,47,5,164,88,3
398,23,0.41,-71,162,4,2,37,32,0
287,156,4.71,-83,21,39,7,167,66,3
304,39,1.56,-118,50,5,3,71,42,2
349,110,4.85,-89,12,38,7,133,65,3
341,46,0.96,-117,83,5,5,78,31,2
381,52,1.88,-102,62,7,4,45,37,2
305,130,7.92,-83,30,32,4,173,89,3
405,30,0.43,-65,245,3,0,64,40,0
453,111,2.76,-76,46,25,5,206,85,1
469,103,1.53,-71,44,18,4,253,82,1
407,46,1.01,-110,90,10,4,90,36,2
229,37,0.91,-119,84,7,6,91,39,2
475,92,1.32,-72,59,17,7,223,98,1
283,127,7.13,-84,15,46,9,105,84,3
395,60,1.82,-105,88,10,2,91,39,2
264,22,0.48,-72,182,5,1,65,27,0
229,36,1.72,-107,57,5,3,91,39,2
434,135,6.1,-85,22,47,6,172,85,3
383,20,0.03,-68,236,1,2,38,25,0
314,116,5.23,-89,35,49,7,168,75,3
309,161,6.56,-84,34,50,4,124,68,3
456,94,1.53,-74,32,30,6,262,76,1
327,30,0.25,-65,220,3,1,34,28,0
220,55,1.73,-103,84,8,3,95,39,2
334,128,1.63,-76,38,22,8,202,91,1
470,91,3.5,-76,56,15,4,212,82,1
435,172,5.25,-80,13,43,5,146,72,3
281,54,0.52,-110,86,7,4,65,31,2
336,106,1.41,-71,27,19,4,248,80,1
269,12,0.08,-75,209,4,1,55,34,0
417,14,0.27,-74,181,3,0,20,33,0
371,39,0.91,-106,90,4,3,66,50,2
477,111,1.31,-73,51,17,6,227,95,1
314,18,0.21,-71,176,3,1,64,40,0
499,87,2.83,-78,20,20,7,181,82,1
405,96,2.35,-75,46,24,7,209,80,1
269,26,0.12,-67,175,3,2,51,42,0
398,126,2.23,-70,53,27,3,257,88,1
310,150,7.39,-87,23,41,8,162,66,3
353,12,0.29,-72,182,2,0,50,40,0
436,111,7.86,-85,23,38,9,178,71,3
288,14,0.31,-68,236,5,1,68,38,0
291,118,5.19,-79,26,31,7,161,77,3
301,39,0.72,-110,63,9,2,99,33,2
452,85,2.64,-74,20,24,5,288,94,1
401,29,0.39,-68,222,5,1,68,38,0
410,86,1.9,-71,40,21,4,225,78,1
496,122,3.0,-70,51,19,5,218,79,1
313,22,0.45,-72,192,4,0,24,43,0
321,111,1.18,-76,59,23,5,185,91,1
389,21,0.1,-74,215,3,0,68,41,0
258,28,0.38,-72,211,2,2,56,40,0
323,118,1.54,-74,26,21,5,287,88,1
449,26,0.4,-70,233,2,2,36,37,0
224,35,1.9,-113,88,7,2,70,44,2
336,40,1.76,-119,58,6,4,82,49,2
386,83,2.03,-77,31,25,4,278,91,1
474,89,1.71,-68,21,15,8,205,88,1
459,109,2.39,-73,26,30,5,220,83,1
318,18,0.32,-65,214,5,0,65,27,0
276,18,0.07,-74,163,3,0,33,43,0
291,162,4.39,-86,35,34,7,128,86,3
398,10,0.36,-74,233,4,1,70,42,0
304,124,1.43,-73,52,26,3,209,84,1
306,39,1.07,-113,84,8,2,50,44,2
468,119,2.65,-76,37,18,3,248,76,1
361,42,0.79,-113,66,6,3,59,49,2
283,27,0.01,-69,221,3,0,41,45,0
300,155,5.35,-89,15,48,9,125,67,3
313,119,5.89,-84,29,34,9,177,71,3
231,41,0.78,-105,53,10,5,56,48,2
335,80,2.54,-71,54,28,6,287,91,1
322,163,5.46,-81,30,42,9,140,69,3
437,21,0.45,-72,169,2,2,52,39,0
316,110,4.16,-79,34,48,7,112,67,3
407,84,1.04,-72,56,23,3,212,97,1
405,117,1.36,-76,29,19,5,280,92,1
342,97,2.65,-68,57,20,7,289,83,1
341,53,1.09,-106,87,4,6,62,48,2
446,29,0.16,-66,155,5,1,46,34,0
281,18,0.31,-70,150,3,1,62,42,0
384,133,7.97,-86,29,42,9,157,86,3
361,21,0.49,-72,156,4,1,52,30,0
289,55,0.65,-119,77,10,3,76,48,2
344,85,2.7,-74,47,27,8,215,88,1
432,124,4.06,-89,35,41,6,142,84,3
316,107,1.32,-69,29,23,5,220,82,1
441,123,2.7,-69,22,15,3,269,93,1
289,130,7.23,-83,15,33,8,111,90,3
401,12,0.09,-75,207,4,1,27,28,0
449,18,0.42,-70,213,3,0,57,27,0
284,13,0.09,-68,167,5,0,61,39,0
422,11,0.46,-65,204,2,0,39,30,0
303,50,1.69,-105,60,6,2,96,48,2
323,111,4.89,-80,27,30,6,115,78,3
425,11,0.36,-68,186,3,0,46,28,0
382,119,4.83,-84,22,39,8,171,71,3
311,122,3.04,-69,52,27,7,214,98,1
367,125,2.84,-77,48,16,6,215,93,1
292,46,1.25,-101,55,4,3,78,49,2
491,118,1.66,-72,57,29,5,252,81,1
325,37,1.3,-117,76,7,5,47,52,2
467,125,3.06,-69,40,21,3,247,90,1
349,47,0.6,-107,85,4,2,63,51,2
340,25,0.05,-66,218,3,0,34,25,0
303,124,6.99,-89,15,45,6,122,69,3
449,115,6.42,-78,26,42,8,146,79,3
379,115,2.22,-74,55,27,6,189,92,1
309,162,4.9,-78,20,37,9,159,76,3
273,55,1.44,-116,89,7,2,98,41,2
283,152,4.47,-89,24,45,9,172,80,3
400,24,0.21,-67,199,4,1,51,25,0
342,87,1.73,-73,57,16,4,269,85,1
427,120,5.55,-84,24,44,5,110,72,3
423,18,0.16,-66,185,1,0,21,20,0
265,18,0.25,-67,157,5,0,53,27,0
269,21,0.02,-72,228,3,2,40,39,0
336,91,2.61,-72,28,24,6,272,77,1
406,46,0.7,-109,53,10,6,91,49,2
335,113,6.68,-81,33,47,7,173,74,3
386,160,6.17,-90,16,36,9,103,78,3
227,41,1.84,-109,50,9,6,90,45,2
434,88,2.93,-71,23,17,3,236,76,1
423,92,1.53,-74,22,21,3,277,87,1
340,20,0.16,-73,163,4,1,36,22,0
432,155,6.68,-89,29,41,6,173,74,3
414,59,1.79,-111,84,4,5,78,46,2
344,20,0.39,-65,216,5,2,61,28,0
445,109,3.42,-74,25,22,4,248,86,1
295,28,0.43,-69,211,1,2,34,29,0
423,103,3.17,-69,38,16,8,288,98,1
420,30,0.22,-75,189,4,1,45,40,0
348,60,0.81,-105,63,10,3,73,52,2
378,80,1.77,-74,45,23,5,222,84,1
338,35,1.22,-113,70,9,3,73,35,2
224,53,1.04,-108,58,5,4,91,51,2
286,27,0.42,-67,234,1,1,46,29,0
367,142,4.03,-83,31,47,8,115,74,3
352,156,4.01,-85,29,32,8,157,72,3
447,139,5.63,-85,25,38,5,145,87,3
445,159,6.45,-88,26,44,5,154,81,3
316,110,5.02,-87,32,35,9,142,87,3
306,81,1.25,-70,50,23,6,292,80,1
391,128,6.4,-84,25,30,4,163,67,3
456,89,3.32,-71,29,15,3,183,86,1
292,130,7.8,-83,34,47,5,146,67,3
408,83,2.77,-72,52,30,5,288,76,1
403,121,2.7,-78,27,16,8,240,81,1
366,108,1.92,-68,25,28,7,300,93,1
488,114,2.04,-71,47,24,4,212,91,1
303,59,0.87,-114,71,10,4,68,42,2
304,13,0.01,-72,180,3,0,24,24,0
440,24,0.36,-65,237,5,0,69,30,0
306,13,0.0,-75,243,3,2,44,26,0
450,92,1.83,-78,49,29,7,238,88,1
306,115,1.88,-76,42,23,8,188,97,1
419,55,1.26,-103,77,10,2,55,39,2
299,156,7.82,-89,35,42,9,141,66,3
275,14,0.3,-70,219,5,1,45,40,0
378,37,1.42,-100,57,9,5,86,48,2
406,56,0.57,-115,63,5,2,41,33,2
295,36,1.43,-103,62,9,3,61,33,2
304,122,5.49,-87,30,38,4,140,88,3
361,99,3.04,-78,49,26,6,249,75,1
318,113,1.85,-76,45,19,5,249,83,1
267,27,0.21,-65,205,3,1,55,30,0
461,105,2.29,-69,52,26,5,231,84,1
307,104,2.83,-73,20,20,8,183,97,1
374,27,0.02,-72,205,5,0,44,39,0
359,56,1.88,-100,68,6,5,96,51,2
364,86,2.76,-71,33,27,8,190,85,1
293,167,7.52,-82,30,36,7,160,65,3
317,47,1.91,-112,69,4,6,48,30,2
411,54,1.13,-100,86,10,5,65,38,2
363,155,7.4,-85,20,38,5,157,84,3
447,22,0.45,-73,188,3,0,21,40,0
353,159,5.55,-79,14,50,9,108,85,3
307,51,1.34,-106,63,5,2,54,44,2
412,140,4.55,-86,16,44,9,104,86,3
281,38,0.79,-120,80,4,5,50,34,2
339,118,1.9,-78,26,23,8,294,84,1
435,21,0.48,-69,233,4,0,40,33,0
436,26,0.18,-72,201,1,0,60,23,0
423,115,1.37,-71,44,21,8,221,83,1
388,111,1.19,-76,20,18,5,244,81,1
307,10,0.3,-65,220,2,2,67,27,0
243,51,1.05,-110,63,10,6,94,40,2
341,18,0.22,-73,167,3,2,32,26,0
397,121,4.15,-80,19,30,5,172,89,3
424,138,7.35,-81,31,36,5,157,72,3
271,28,0.19,-74,175,3,2,65,42,0
322,28,0.18,-66,151,2,1,39,37,0
414,32,1.28,-105,53,5,4,54,39,2
309,91,1.85,-76,54,20,7,294,78,1
387,12,0.36,-73,228,2,2,28,42,0
332,33,0.61,-104,82,7,4,87,39,2
369,142,7.49,-86,13,44,9,102,79,3
317,123,1.47,-72,21,17,4,289,90,1
337,37,0.99,-106,79,9,6,41,43,2
447,24,0.05,-67,197,4,2,45,39,0
307,12,0.02,-71,158,5,1,44,45,0
345,13,0.38,-72,226,4,0,58,30,0
365,29,0.2,-66,249,2,2,37,36,0
500,82,1.08,-78,57,27,5,259,91,1
326,88,3.17,-70,46,25,8,288,92,1
262,32,1.37,-120,68,5,2,63,52,2
328,13,0.2,-67,165,4,1,37,45,0
326,58,1.7,-112,83,5,6,79,31,2
231,54,1.05,-110,62,6,4,61,34,2
331,128,7.5,-78,11,49,8,130,90,3
355,44,1.94,-119,69,7,4,68,46,2
494,117,1.61,-73,36,30,3,261,88,1
292,58,0.86,-117,55,8,5,88,33,2
470,80,3.02,-69,52,16,6,270,90,1
346,44,1.03,-114,72,9,4,78,44,2
384,113,2.72,-76,23,21,4,208,97,1
312,122,3.4,-77,42,19,8,214,81,1
275,41,1.59,-108,83,9,2,72,32,2
344,24,0.13,-75,179,1,2,41,35,0
332,10,0.01,-69,206,2,0,49,33,0
312,96,1.89,-69,27,17,8,216,89,1
416,126,1.77,-71,48,26,6,201,92,1
321,114,4.5,-84,31,37,8,156,83,3
254,23,0.35,-75,250,3,2,68,35,0
349,119,1.4,-78,31,27,3,203,83,1
406,102,2.87,-71,28,23,5,276,76,1
388,25,0.19,-71,196,3,1,47,42,0
403,82,2.24,-72,28,16,3,230,98,1
269,52,0.68,-111,85,5,5,82,33,2
356,34,1.99,-112,79,5,4,52,50,2
373,17,0.4,-73,174,1,1,33,33,0
396,92,1.65,-68,60,18,4,234,85,1
445,24,0.48,-75,201,5,0,56,42,0
324,42,1.73,-115,66,8,5,72,42,2
293,36,1.6,-105,82,6,6,90,36,2
440,106,2.56,-70,35,26,8,212,98,1
437,144,7.82,-83,32,49,8,156,65,3
249,42,1.71,-110,65,10,3,87,54,2
388,97,1.15,-74,35,24,6,222,82,1
404,23,0.36,-75,239,2,0,41,29,0
351,46,1.92,-108,66,9,2,95,35,2
356,91,1.28,-73,38,22,3,277,98,1
283,52,1.07,-116,60,8,4,98,31,2
439,113,3.3,-69,33,18,3,259,92,1
382,176,6.52,-83,24,50,6,118,82,3
347,178,5.07,-83,18,38,8,103,70,3
408,32,1.91,-113,84,5,4,40,35,2
395,53,1.31,-101,67,8,6,40,42,2
277,46,0.74,-106,77,6,6,55,51,2
446,166,7.22,-81,34,34,4,147,85,3
290,18,0.38,-72,213,3,1,66,21,0
222,46,0.68,-120,86,5,2,84,52,2
429,166,4.67,-89,21,45,9,173,68,3
312,43,0.53,-109,50,10,6,98,43,2
413,16,0.42,-66,162,1,2,50,37,0
390,98,1.63,-74,31,24,3,279,97,1
244,38,1.11,-111,74,9,2,56,54,2
378,30,1.1,-100,52,10,5,87,39,2
340,27,0.25,-65,225,4,1,61,26,0
227,30,1.41,-109,88,9,5,42,43,2
305,12,0.39,-67,156,2,1,24,28,0
366,16,0.04,-70,193,5,1,23,40,0
402,41,1.97,-111,76,4,3,73,34,2
331,167,5.77,-84,21,39,8,174,66,3
342,119,1.02,-75,29,25,7,230,98,1
410,24,0.08,-68,213,4,0,24,37,0
259,47,1.05,-115,65,7,2,76,42,2
317,94,3.02,-73,25,21,6,285,86,1
398,29,0.16,-75,221,3,2,25,22,0
429,97,1.53,-70,42,30,8,256,88,1
418,126,2.05,-75,32,23,8,199,79,1
354,103,2.23,-70,33,19,5,279,96,1
426,156,6.63,-85,15,37,9,105,67,3
376,97,2.22,-71,50,28,8,254,75,1
472,111,1.98,-70,29,21,4,188,95,1
251,43,1.67,-111,80,8,6,88,44,2
332,113,7.55,-79,21,37,7,162,71,3
396,29,0.13,-72,239,3,2,37,29,0
447,128,2.26,-78,30,22,3,297,81,1
349,39,1.63,-104,75,4,5,41,54,2
375,43,0.74,-111,53,10,2,44,33,2
454,122,2.36,-73,42,15,3,279,98,1
430,123,4.31,-85,25,43,4,161,68,3
343,156,6.35,-90,20,47,5,145,77,3
282,40,1.36,-108,83,5,6,59,44,2
308,146,6.45,-85,17,46,5,153,81,3
321,114,5.04,-83,12,38,6,104,75,3
274,40,1.6,-120,84,10,3,90,34,2
302,48,1.37,-114,52,8,2,66,41,2
410,24,0.23,-71,226,3,1,47,32,0
423,176,6.35,-88,10,30,9,162,72,3
364,131,6.55,-89,33,35,7,160,79,3
350,11,0.07,-67,202,2,1,49,25,0
338,80,1.75,-68,59,21,3,254,91,1
353,108,1.18,-77,28,21,8,249,78,1
333,44,0.72,-110,81,4,6,74,36,2
461,99,1.71,-72,32,30,4,191,89,1
336,112,5.75,-79,15,32,4,110,73,3
411,10,0.22,-72,194,3,0,37,24,0
403,146,7.86,-78,23,45,7,176,70,3
359,53,1.79,-107,69,4,2,64,51,2
254,41,1.29,-102,90,4,5,90,38,2
380,81,2.47,-76,55,16,4,259,89,1
394,123,6.93,-81,21,48,9,126,90,3
403,17,0.46,-73,197,3,1,50,25,0
220,54,1.04,-103,67,7,5,98,51,2
367,122,4.62,-78,26,44,9,148,65,3
363,58,1.43,-101,58,8,3,47,49,2
361,48,1.17,-104,60,10,6,98,41,2
305,132,7.37,-78,15,35,5,100,77,3
252,18,0.36,-65,163,2,2,47,37,0
315,95,2.7,-78,20,30,6,275,80,1
324,148,7.77,-79,32,38,5,156,72,3
436,114,5.87,-87,20,39,5,118,76,3
381,127,4.52,-81,30,34,8,109,68,3
394,95,2.4,-74,44,21,6,291,89,1
280,46,1.14,-101,64,6,5,58,35,2
389,117,7.8,-82,11,45,5,135,84,3
384,55,1.99,-105,67,6,5,45,44,2
343,99,2.67,-76,58,25,6,269,77,1
381,149,4.62,-85,23,38,9,172,83,3
333,39,1.27,-113,59,6,2,57,43,2
479,128,1.74,-77,59,23,6,258,90,1
406,107,1.05,-78,47,24,6,275,84,1
302,30,0.79,-112,86,7,2,52,54,2
318,44,0.89,-109,87,5,5,95,49,2
220,40,1.52,-117,52,10,3,78,36,2
236,54,0.66,-111,85,7,2,100,35,2
401,60,1.8,-105,88,5,6,100,38,2
432,161,6.0,-86,12,39,9,126,78,3
294,36,0.82,-109,84,8,5,46,38,2
436,123,2.07,-75,29,30,7,200,87,1
347,57,1.29,-115,54,5,3,93,52,2
374,109,2.03,-78,49,20,6,212,94,1
306,142,4.99,-86,32,41,5,174,80,3
299,16,0.17,-69,178,2,2,61,24,0
403,12,0.31,-72,161,1,0,40,37,0
412,145,4.34,-82,30,45,5,114,78,3
321,150,5.93,-82,11,31,5,140,73,3
388,144,4.77,-78,28,33,9,164,79,3
345,137,6.23,-79,26,38,6,102,87,3
440,144,7.47,-82,25,48,9,175,90,3
338,17,0.18,-73,185,3,0,66,41,0
309,115,2.1,-77,49,24,4,285,95,1
444,167,6.74,-79,31,33,7,106,67,3
441,17,0.04,-66,193,5,0,39,41,0
312,88,2.04,-68,49,21,6,292,84,1
369,110,2.87,-68,30,16,8,189,80,1
421,173,6.31,-85,31,30,9,162,72,3
395,129,6.9,-86,34,41,9,150,65,3
330,128,6.19,-80,23,33,5,176,69,3
345,30,0.03,-69,231,2,1,69,38,0
254,25,0.24,-65,172,3,0,70,21,0
324,24,0.43,-69,179,4,0,24,32,0
429,127,3.46,-78,34,16,3,206,87,1
414,24,0.44,-68,168,5,2,68,32,0
359,106,1.22,-71,36,30,7,285,76,1
361,146,4.67,-86,14,45,8,180,87,3
324,121,1.73,-74,30,20,7,195,77,1
291,30,1.94,-110,62,5,3,85,43,2
436,117,5.35,-87,24,31,5,177,67,3
500,109,3.18,-73,35,17,7,212,75,1
257,35,1.62,-110,63,8,6,47,51,2
334,50,0.51,-110,89,5,5,60,30,2
415,155,4.25,-87,22,50,6,127,82,3
414,112,5.24,-88,15,44,6,128,86,3
251,13,0.04,-74,174,3,2,70,42,0
447,29,0.33,-70,171,3,0,26,43,0
367,15,0.14,-68,188,5,0,45,44,0
354,54,0.71,-117,89,6,2,46,41,2
266,56,1.8,-113,67,7,6,60,54,2
283,168,4.24,-89,10,34,4,144,69,3
385,32,1.28,-110,60,10,6,82,51,2
351,30,0.31,-71,227,5,0,59,34,0
404,14,0.05,-68,207,4,1,45,45,0
363,91,1.6,-76,57,29,6,285,91,1
383,117,3.22,-75,60,26,7,182,96,1
341,23,0.04,-72,179,1,0,24,35,0
327,134,4.37,-79,19,47,9,136,75,3
