Customer_ID,Age,Annual_Income,Total_Orders,Avg_Order_Value,Days_Since_Last_Purchase,App_Sessions_Per_Month,Website_Visits_Per_Month,Wishlist_Count,Cart_Additions_Per_Month,Cluster
C100189,45,1469425,168,9627,248,107,193,6,112,4
C100190,42,638518,113,7325,227,142,90,65,70,4
C100191,56,1995712,11,6381,68,18,98,97,105,2
C100192,50,2148199,186,12423,311,105,51,61,28,3
C100193,18,1227247,224,6784,331,55,95,74,48,0
C100194,44,1804791,20,5341,242,82,28,61,90,2
C100195,69,948883,194,1720,0,88,72,29,39,3
C100196,30,1878452,159,9100,49,32,183,9,10,0
C100197,58,1983733,133,1733,330,82,138,90,18,0
C100198,20,851336,96,12896,43,144,117,82,101,4
C100199,56,2659698,50,8141,23,119,9,93,29,2
C100200,23,2334808,137,2045,184,29,53,82,74,2
C100201,25,708900,41,14709,27,74,193,79,71,4
C100202,44,1579019,10,7294,94,128,153,38,116,4
C100203,26,1885726,245,5661,352,101,67,38,112,3
C100204,54,1697655,181,4386,223,22,1,50,6,3
C100205,50,1066280,100,14755,69,14,143,3,70,1
C100206,68,300521,177,5476,164,15,198,23,12,1
C100207,59,880190,154,1335,307,90,155,40,65,4
C100208,61,1886192,108,9123,155,59,180,1,62,0
C100209,41,419334,67,8323,354,1,177,14,73,1
C100210,32,2219731,36,748,98,12,63,50,19,2
C100211,49,2423717,151,820,357,128,181,76,96,4
C100212,49,2389785,94,4872,301,87,128,82,99,2
C100213,41,563647,167,10759,223,61,160,27,29,1
C100214,58,2014625,59,1789,22,82,51,23,64,2
C100215,69,2094327,23,12564,44,23,192,58,33,0
C100216,66,264291,23,3159,263,130,114,84,66,4
C100217,66,1964685,171,7515,122,78,40,4,68,3
C100218,69,755027,100,10267,304,140,183,45,48,4
C100219,29,1456475,25,830,294,2,20,44,112,2
C100220,56,989800,84,3713,205,149,74,43,1,4
C100221,19,2060922,60,11773,231,103,120,0,3,4
C100222,20,2820287,102,5264,117,110,45,18,33,2
C100223,66,1714214,161,4577,107,27,165,53,94,0
C100224,54,2585051,161,1140,135,39,181,92,1,0
C100225,66,2936736,230,1210,354,43,108,31,72,0
C100226,34,772635,193,5797,205,85,183,22,33,4
C100227,66,2287246,47,4916,75,144,88,60,105,2
C100228,19,1326367,33,12450,277,7,132,50,22,1
C100229,19,2178898,38,10932,331,142,183,92,15,4
C100230,45,375377,152,8537,66,11,4,86,40,1
C100231,40,1077590,201,10782,155,75,138,39,1,0
C100232,54,714832,95,9243,139,142,123,6,14,4
C100233,49,1973194,102,7700,193,100,194,54,95,4
C100234,50,1610747,49,2722,360,99,7,2,104,2
C100235,18,2556956,220,5602,168,130,168,0,9,0
C100236,36,2320888,215,13481,79,99,154,87,45,0
C100237,19,2719604,30,3993,171,18,54,50,48,2
C100238,61,708918,210,11749,329,2,56,89,107,1
C100239,43,1380033,247,7197,301,14,134,49,59,0
C100240,49,2514007,58,11410,54,4,32,18,41,2
C100241,23,1884807,218,4282,182,145,188,18,29,4
C100242,49,2511753,116,3923,172,29,142,78,6,0
C100243,21,1452537,97,7093,121,115,122,59,69,4
C100244,28,2586028,187,556,16,92,164,21,79,0
C100245,34,490519,121,8947,285,112,194,72,78,4
C100246,55,2810907,144,12355,43,135,164,53,117,4
C100247,41,2653535,221,768,125,96,109,87,61,0
C100248,22,617211,144,1387,253,49,138,75,56,1
C100249,69,2778597,161,1807,60,86,113,22,91,0
C100250,51,2095365,39,12681,152,133,42,16,5,2
C100251,23,1487937,46,2653,116,106,116,97,48,4
C100252,39,452276,239,2606,360,123,67,76,55,3
C100253,28,1279368,166,8222,34,7,127,11,119,1
C100254,65,1517091,151,4849,178,60,180,30,56,0
C100255,33,1702094,26,14993,176,6,175,86,54,1
C100256,50,1994591,49,13035,198,31,29,90,99,2
C100257,26,1551125,81,8516,257,46,37,77,25,2
C100258,23,1800671,102,10595,297,22,138,75,45,0
C100259,33,813373,109,13652,21,62,113,82,46,1
C100260,46,403715,24,10214,309,70,109,3,31,1
C100261,20,449117,127,11980,85,42,171,47,112,1
C100262,37,1966093,107,6134,346,114,115,29,113,4
C100263,53,1678820,83,6327,172,142,108,78,49,4
C100264,36,2224920,170,1576,364,28,166,78,16,0
C100265,43,743747,126,11669,330,127,129,99,24,4
C100266,20,1492278,27,12311,191,121,133,14,28,4
C100267,36,2879790,130,7340,145,17,96,16,68,0
C100268,37,1417652,116,5546,132,28,34,3,60,1
C100269,49,2021644,136,6768,153,13,117,66,0,0
C100270,24,2447550,79,6178,282,24,169,97,34,0
C100271,69,1308104,125,10382,252,79,180,34,47,4
C100272,58,1420604,169,14454,134,107,47,89,101,3
C100273,50,2310718,141,7113,8,91,110,10,101,0
C100274,57,1920745,91,588,147,48,29,15,23,2
C100275,56,307752,150,7251,244,65,104,48,18,1
C100276,35,2356615,119,6016,10,99,161,44,21,4
C100277,57,2521730,47,1568,266,94,153,81,96,4
C100278,18,845939,47,11073,59,124,148,21,6,4
C100279,28,1995495,65,964,272,20,26,41,102,2
C100280,45,2473145,197,909,227,133,184,22,50,4
C100281,42,341700,157,10799,66,48,51,10,110,1
C100282,67,643784,79,5175,44,78,146,84,83,1
C100283,40,2164213,118,4015,307,133,69,54,88,3
C100284,48,1295501,30,7106,194,121,67,99,73,2
C100285,47,2360652,46,14609,308,124,85,48,37,2
C100286,59,1413178,6,2033,302,11,121,94,68,1
C100287,52,159610,134,9497,139,115,39,34,84,3
C100288,24,626922,87,11532,275,22,10,50,26,1
C100289,33,2785309,52,6804,281,13,185,91,38,0
C100290,43,2987914,5,14242,29,111,35,30,65,2
C100291,65,762754,214,7502,187,75,57,14,72,3
C100292,69,1667397,41,12389,43,80,104,70,27,2
C100293,66,390475,148,3871,248,28,93,39,66,1
C100294,19,592170,148,12556,122,85,57,73,66,3
C100295,18,2794419,167,4637,137,137,97,49,19,3
C100296,65,527525,30,6193,179,70,24,33,16,1
C100297,29,2045928,48,6834,127,146,196,62,32,4
C100298,22,376898,209,11968,226,93,115,6,15,3
C100299,54,2884224,188,10989,126,16,178,10,111,0
C100300,49,2865697,123,12674,56,123,107,39,57,2
C100301,26,2240407,151,7714,330,72,45,24,82,2
C100302,58,1427027,104,6126,262,87,50,41,33,3
C100303,52,619334,188,1719,319,107,22,77,22,3
C100304,36,1484129,178,14684,135,48,137,43,92,0
C100305,65,2625739,116,1018,342,31,40,85,51,2
C100306,33,1656954,13,1769,91,131,134,34,88,4
C100307,20,1402217,110,11852,310,16,10,74,52,1
C100308,37,210428,228,3097,225,13,149,80,29,1
C100309,41,1094889,234,5992,329,123,54,92,93,3
C100310,50,2116927,202,11320,123,24,73,13,17,0
C100311,41,226699,38,7096,81,117,125,97,11,4
C100312,69,1449814,39,8678,301,73,98,83,93,2
C100313,28,968281,103,9031,187,79,102,87,51,1
C100314,66,2581164,196,5496,146,134,91,10,83,3
C100315,25,534986,147,8387,307,88,153,34,94,4
C100316,53,968225,180,13970,174,108,135,69,48,4
C100317,55,235240,169,8649,281,101,186,42,14,4
C100318,57,758665,122,8719,248,98,86,19,35,3
C100319,37,415594,92,6703,6,66,161,64,47,1
C100320,52,2255570,27,9528,254,5,50,51,53,2
C100321,65,2689086,151,8183,223,105,141,6,10,0
C100322,42,916164,127,8876,326,123,18,90,52,3
C100323,52,1557980,19,12503,79,108,21,26,12,2
C100324,42,1050441,80,8028,118,146,154,45,40,4
C100325,46,2250307,163,11516,260,43,146,80,19,0
C100326,35,1600902,133,835,208,32,197,60,83,0
C100327,63,965880,88,1490,24,5,106,8,85,1
C100328,35,2111942,133,6357,310,9,68,33,58,0
C100329,19,278529,93,9138,287,23,91,45,95,1
C100330,52,1165626,6,8130,192,97,47,37,111,2
C100331,33,1415386,41,9280,248,143,146,72,67,4
C100332,58,1243807,41,6945,113,55,107,96,33,1
C100333,53,1758263,182,9558,59,49,101,68,9,0
C100334,50,563274,172,3559,207,67,98,93,17,1
C100335,21,2502449,240,13251,112,89,89,78,70,0
C100336,50,2581700,48,6031,5,2,140,6,56,0
C100337,31,643349,165,5512,94,7,113,44,94,1
C100338,38,1509418,93,14791,356,33,32,77,108,2
C100339,65,2554675,184,4205,162,1,141,50,112,0
C100340,37,2468420,33,1967,269,60,41,61,38,2
C100341,25,2906324,219,14332,353,63,33,98,47,0
C100342,24,560486,163,2175,175,143,57,6,64,3
C100343,20,960410,102,2255,142,129,35,51,12,3
C100344,34,965215,232,612,315,97,171,36,48,4
C100345,50,1389667,112,4229,233,79,41,4,60,3
C100346,65,1998244,134,13924,357,23,182,68,26,0
C100347,29,481827,46,6401,81,148,157,91,58,4
C100348,68,561731,74,14398,191,61,46,32,79,1
C100349,39,2340958,246,12106,101,108,141,45,14,0
C100350,39,1594551,36,4309,12,7,25,37,31,2
C100351,63,652490,172,7143,243,31,157,52,17,1
C100352,47,1354964,135,13828,201,81,13,78,23,3
C100353,55,2184492,135,1481,246,27,11,78,25,2
C100354,55,588696,29,11227,167,60,169,8,99,1
C100355,62,163332,208,12065,228,135,116,75,54,3
C100356,68,356511,65,13482,187,38,49,87,23,1
C100357,25,1378855,60,10100,183,108,173,68,67,4
C100358,44,2960662,112,13589,225,142,4,85,109,2
C100359,44,2301054,35,4948,95,130,30,34,94,2
C100360,51,945630,239,459,47,121,56,17,75,3
C100361,38,558948,185,4326,328,106,173,31,69,4
C100362,47,2595319,29,8344,225,38,91,78,94,2
C100363,50,2642149,38,347,172,1,6,94,1,2
C100364,45,2063956,205,5902,51,83,83,76,16,3
C100365,64,2035149,244,12012,31,4,21,96,52,0
C100366,50,2475314,232,7872,339,121,75,80,78,3
C100367,22,2439501,140,8911,62,2,107,21,23,0
C100368,65,2356812,87,8302,192,135,71,1,100,2
C100369,36,1910640,110,12410,41,108,133,82,20,4
C100370,21,443629,80,6275,336,47,18,17,52,1
C100371,52,661273,186,6203,355,146,142,90,89,4
C100372,66,2273806,78,12459,55,80,89,64,61,2
C100373,34,1362793,80,5093,10,79,133,4,112,4
C100374,61,2822969,134,9906,298,8,130,8,33,0
C100375,45,2875789,36,3067,72,73,111,54,67,2
C100376,47,851738,52,7979,129,82,124,47,60,4
C100377,46,1477385,88,4551,253,90,45,25,74,2
C100378,63,2047483,115,10205,154,105,132,39,48,4
C100379,23,890199,27,8759,117,58,125,65,85,1
C100380,52,1770666,25,964,247,39,134,60,114,2
C100381,58,2155832,168,11337,69,62,56,18,93,3
C100382,54,1642782,164,13939,128,2,153,65,24,0
C100383,41,2949638,188,12470,315,30,94,46,64,0
C100384,46,2718528,29,12775,357,13,37,96,108,2
C100385,66,2024346,95,5973,274,143,181,30,99,4
C100386,63,767292,3,13327,128,63,155,27,98,1
C100387,48,1157830,141,666,183,27,118,11,73,1
C100388,52,1612906,68,13026,301,87,104,10,28,2
C100389,50,2472854,139,10274,95,1,41,75,82,2
C100390,69,2619585,176,9935,61,12,131,66,57,0
C100391,38,2741542,207,12380,77,71,19,94,92,3
C100392,49,1255501,60,14729,8,136,41,37,113,3
C100393,40,2575769,2,9201,42,7,116,35,15,2
C100394,50,2769115,79,2849,38,85,107,90,79,2
C100395,20,2879625,198,4686,8,109,69,98,35,3
C100396,35,966401,111,13008,10,91,173,65,33,4
C100397,42,1175256,13,12807,266,85,85,59,46,2
C100398,59,2348568,35,1759,281,122,126,43,92,4
C100399,48,2138896,51,13652,136,19,162,84,22,0
C100400,20,1828605,236,13477,136,102,130,46,84,0
C100401,57,2710438,108,7600,135,34,51,28,117,2
C100402,63,2924525,113,11840,196,47,13,15,110,2
C100403,41,180089,56,3112,270,67,132,76,113,1
C100404,67,1466891,40,13026,356,68,83,18,24,2
C100405,49,1895165,249,3804,345,92,117,17,104,0
C100406,64,2417033,205,11880,332,104,16,50,117,3
C100407,39,1781888,187,4529,347,58,98,66,74,0
C100408,40,957585,12,1181,0,122,31,73,15,2
C100409,19,254693,16,11742,273,111,110,96,16,4
C100410,44,2765506,181,7529,13,49,144,1,53,0
C100411,59,1613518,235,1603,248,11,84,90,41,0
C100412,19,1444695,116,12373,154,119,87,51,35,4
C100413,43,154677,41,6661,51,129,114,31,54,4
C100414,34,679427,243,8000,126,68,166,61,81,0
C100415,57,2042774,148,5339,271,46,3,31,88,2
C100416,50,332444,168,7527,169,32,49,92,113,1
C100417,26,1799557,61,6653,287,5,182,52,26,0
C100418,60,2566710,205,5308,324,132,107,65,51,3
C100419,65,1180917,34,2496,257,49,140,74,1,1
C100420,56,1852671,19,14815,322,43,174,94,99,2
C100421,46,2489783,173,5553,70,15,99,93,67,0
C100422,59,645212,91,12990,129,136,187,7,100,4
C100423,43,1711110,29,6125,332,114,72,25,0,2
C100424,52,1010173,19,6590,133,148,94,38,114,4
C100425,67,2121505,235,5883,127,63,105,88,81,0
C100426,42,2775340,184,4676,234,73,35,12,39,0
C100427,41,1927934,27,5335,138,44,63,48,24,2
C100428,30,1188084,130,1206,337,16,6,76,115,1
C100429,24,1586724,168,9079,174,141,63,78,104,3
C100430,53,647133,103,8647,68,134,190,96,111,4
C100431,62,1060895,193,8557,199,116,9,78,46,3
C100432,37,1987825,78,7889,177,77,13,22,5,2
C100433,18,1269062,8,10308,233,75,34,59,34,2
C100434,25,393709,27,13357,258,91,181,10,116,4
C100435,63,633025,225,4646,288,56,195,22,82,0
C100436,33,1140531,223,5417,36,30,54,26,37,1
C100437,31,1665342,158,3367,97,46,85,71,91,1
C100438,29,1264554,153,8873,281,52,52,9,43,1
C100439,68,828138,49,11192,127,119,124,17,90,4
C100440,40,2566450,245,2275,73,119,78,83,66,3
C100441,32,504339,56,1119,42,73,114,58,78,1
C100442,45,2078047,100,7768,26,76,115,94,44,2
C100443,51,2780853,102,6237,356,7,112,74,98,0
C100444,19,1312689,65,4587,128,93,66,64,70,2
C100445,49,1668969,31,5667,275,27,90,18,51,2
C100446,40,673509,227,12192,17,59,177,2,20,0
C100447,39,1504120,60,11651,238,11,82,35,110,1
C100448,68,2014907,213,2047,133,22,117,50,13,0
C100449,42,262683,162,1066,198,96,73,50,77,3
C100450,39,1159978,145,5503,325,12,28,20,113,1
C100451,39,1768327,73,12215,348,61,13,18,115,2
C100452,66,937326,29,662,260,146,54,29,56,4
C100453,69,2937533,200,2264,363,137,4,58,29,3
C100454,59,2473696,211,5840,110,37,10,86,57,3
C100455,23,2474520,239,11158,242,18,131,80,1,0
C100456,32,1328187,134,9628,175,58,17,67,45,3
C100457,60,500921,88,1957,194,30,31,17,68,1
C100458,54,899662,126,14494,339,14,108,7,47,1
C100459,50,891915,6,12723,324,33,118,80,110,1
C100460,25,2507306,104,7055,116,73,65,7,15,2
C100461,61,2730096,131,14235,116,50,138,94,20,0
C100462,61,1959237,95,7705,7,144,158,70,85,4
C100463,22,1686508,159,5260,249,135,167,41,15,4
C100464,56,193520,76,2337,192,127,159,21,36,4
C100465,21,2749710,180,8010,131,117,17,53,110,3
C100466,23,1961477,136,9105,196,67,167,66,40,0
C100467,62,2277051,235,3528,8,134,74,15,100,3
C100468,49,328874,90,7485,227,3,100,70,30,1
C100469,69,1715142,26,2275,46,15,185,46,110,1
C100470,47,2849547,143,7487,87,53,70,54,7,0
C100471,64,543587,205,4135,81,106,80,74,7,3
C100472,52,1753057,184,2199,243,51,142,47,54,0
C100473,57,2459146,86,2931,138,23,175,2,64,0
C100474,69,426608,122,12702,84,25,18,25,67,1
C100475,33,495467,127,14169,202,107,31,71,62,3
C100476,30,1416170,62,11152,29,97,93,70,74,2
C100477,67,1972570,141,2947,48,4,43,88,88,1
C100478,59,2847688,46,8293,359,45,22,19,0,2
C100479,47,1656789,182,12959,356,104,155,45,90,4
C100480,36,495071,9,5230,147,24,130,59,116,1
C100481,34,1985675,88,9361,18,96,21,13,1,2
C100482,36,2394549,3,7286,234,45,181,87,64,2
C100483,45,1658774,151,5461,182,56,180,36,21,0
C100484,43,2234734,12,7187,264,45,21,67,97,2
C100485,54,831843,41,11412,280,41,89,96,92,1
C100486,43,1946415,172,6930,40,30,85,46,43,0
C100487,40,1946153,186,1750,3,88,167,83,116,0
C100488,26,453144,11,2734,104,66,105,35,100,1
C100489,29,1866961,147,11968,150,98,97,67,28,3
C100490,18,2801380,187,9968,152,130,171,16,102,0
C100491,18,2893318,73,3436,205,122,163,41,88,4
C100492,64,793780,165,14361,38,140,33,64,3,3
C100493,51,2329849,138,11001,20,7,151,53,40,0
C100494,49,1240371,73,4893,349,51,43,71,67,1
C100495,65,240990,33,7330,89,59,50,49,67,1
C100496,42,908153,205,3695,111,32,28,27,25,1
C100497,57,1473835,148,2878,22,77,50,32,101,3
C100498,62,582254,172,4058,303,12,35,86,71,1
C100499,18,206433,75,5567,99,3,74,66,38,1
C100500,33,2321716,233,6555,91,84,15,69,37,3
C100501,56,1633276,93,10162,354,73,179,22,35,4
C100502,22,1568467,111,7015,202,138,135,6,4,4
C100503,39,907905,125,9247,260,108,167,52,63,4
C100504,46,1451666,124,11956,65,60,114,80,100,1
C100505,20,2532551,13,4882,361,120,4,14,64,2
C100506,29,754035,124,2765,45,114,105,13,89,4
C100507,43,2686985,236,469,212,114,77,38,112,3
C100508,33,2158188,63,1592,332,66,191,94,102,4
C100509,68,584475,142,4335,82,89,135,9,53,4
C100510,54,227049,201,12239,96,52,115,53,84,1
C100511,39,1138073,54,8382,133,112,153,58,56,4
C100512,46,639576,170,1020,108,135,90,34,18,3
C100513,31,622008,166,4199,227,57,157,42,76,1
C100514,45,1701872,83,5764,173,81,44,82,55,2
C100515,22,2011301,106,4665,254,116,116,87,74,4
C100516,64,2802047,111,6448,150,123,118,51,41,2
